Species,SpecCode,Genus,Author,FBname,DemersPelag,Subfamily,DepthRangeShallow,DepthRangeDeep,DepthRangeComShallow,DepthRangeComDeep,Length,CommonLength,Weight,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Coelorinchus kishinouyei,8455,Coelorinchus,"Jordan & Snyder, 1900",Mugura grenadier,bathydemersal,NA,200,600,NA,NA,36,NA,NA,35,N,28,N,126,E,139,E,8,12
Coelorinchus labiatus,8456,Coelorinchus,"(Köhler, 1896)",Spearsnouted grenadier,bathydemersal,NA,460,2220,NA,NA,50,NA,NA,61,N,12,N,28,W,28,E,NA,NA
Coelorinchus leptorhinus,62215,Coelorinchus,"Chiou, Shao & Iwamoto, 2004",NA,benthopelagic,NA,400,800,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coelorinchus longicephalus,8457,Coelorinchus,"Okamura, 1982",Longhead grenadier,bathydemersal,NA,336,700,NA,NA,89,NA,NA,30,N,25,N,131,E,137,E,NA,NA
Coelorinchus longissimus,23207,Coelorinchus,"Matsubara, 1943",NA,benthopelagic,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coelorinchus macrochir,8458,Coelorinchus,"(Günther, 1877)",Longarm grenadier,bathydemersal,NA,235,830,NA,NA,68,NA,NA,43,N,28,N,127,E,147,E,NA,NA
Coelorinchus macrorhynchus,52163,Coelorinchus,"Smith & Radcliffe, 1912",Bigsnout whiptail,bathydemersal,NA,329,759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coelorinchus marinii,7132,Coelorinchus,"Hubbs, 1934",Marini's grenadier,benthopelagic,NA,200,600,NA,NA,38,NA,NA,26,S,56,S,64,W,34,W,NA,NA
Coelorinchus matamua,8459,Coelorinchus,"(McCann & McKnight, 1980)",Mahia whiptail,bathydemersal,NA,450,1000,NA,NA,65,NA,NA,NA,NA,40,S,NA,NA,NA,NA,NA,NA
Coelorinchus multispinulosus,8461,Coelorinchus,"Katayama, 1942",Spearnose grenadier,benthopelagic,NA,150,300,NA,NA,38,NA,NA,38,N,30,N,127,E,137,E,NA,NA
Coelorinchus mycterismus,48983,Coelorinchus,"McMillan & Paulin, 1993",Upturned snout rattail,bathydemersal,NA,833,1150,NA,NA,49,NA,NA,32,S,42,S,NA,NA,NA,NA,NA,NA
Coelorinchus mystax,48984,Coelorinchus,"McMillan & Paulin, 1993",Patterned rattail,bathydemersal,NA,457,675,NA,NA,55,NA,NA,34,S,35,S,NA,NA,NA,NA,NA,NA
Coelorinchus occa,3103,Coelorinchus,"(Goode & Bean, 1885)",Swordsnout grenadier,bathydemersal,NA,400,2220,NA,NA,50,NA,NA,34,N,7,N,98,W,52,W,NA,NA
Coelorinchus oliverianus,8462,Coelorinchus,"Phillipps, 1927",Hawknose grenadier,bathydemersal,NA,85,1245,400,600,35,NA,NA,31,S,50,S,160,E,177,W,NA,NA
Coelorinchus parallelus,8463,Coelorinchus,"(Günther, 1877)",Spiny grenadier,bathydemersal,NA,630,990,NA,NA,48,NA,NA,35,N,10,N,121,E,140,E,NA,NA
Coelorinchus parvifasciatus,48985,Coelorinchus,"McMillan & Paulin, 1993",Small banded rattail,bathydemersal,NA,300,800,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coelorinchus polli,16822,Coelorinchus,"Marshall & Iwamoto, 1973",NA,benthopelagic,NA,155,360,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coelorinchus productus,8464,Coelorinchus,"Gilbert & Hubbs, 1916",Unicorn grenadier,bathydemersal,NA,271,600,NA,NA,31,NA,NA,34,N,24,N,124,E,139,E,NA,NA
Coelorinchus scaphopsis,8465,Coelorinchus,"(Gilbert, 1890)",Shoulderspot grenadier,benthopelagic,NA,180,300,NA,NA,34,NA,NA,37,N,22,N,123,W,107,W,NA,NA
Coelorinchus sheni,62123,Coelorinchus,"Chiou, Shao & Iwamoto, 2004",NA,benthopelagic,NA,400,650,NA,NA,93.69999694824219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coelorinchus simorhynchus,27105,Coelorinchus,"Iwamoto & Anderson, 1994",NA,bathydemersal,NA,139,986,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coelorinchus smithi,23219,Coelorinchus,"Gilbert & Hubbs, 1920",False graceful whiptail,bathydemersal,NA,300,1110,NA,NA,43.20000076293945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coelorinchus tokiensis,23221,Coelorinchus,"(Steindachner & Döderlein, 1887)",NA,benthopelagic,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coelorinchus trachycarus,56594,Coelorinchus,"Iwamoto, McMillan & Shcherbachev, 1999",NA,bathydemersal,NA,622,1350,NA,NA,50.79999923706055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coelorinchus trunovi,27114,Coelorinchus,"Iwamoto & Anderson, 1994",NA,bathypelagic,NA,421,552,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coilia dussumieri,625,Coilia,"Valenciennes, 1848",Goldspotted grenadier anchovy,pelagic-neritic,Coiliinae,0,50,NA,NA,20,17,NA,24,N,9,S,70,E,118,E,NA,NA
Coilia grayii,626,Coilia,"Richardson, 1845",Gray's grenadier anchovy,pelagic-neritic,Coiliinae,0,50,NA,NA,33,NA,127.31999969482422,33,N,7,N,72,E,124,E,NA,NA
Coilia mystus,629,Coilia,"(Linnaeus, 1758)",Osbeck's grenadier anchovy,pelagic-neritic,Coiliinae,10,NA,NA,NA,21,NA,NA,42,N,4,N,94,E,127,E,NA,NA
Coilia nasus,630,Coilia,"Temminck & Schlegel, 1846",Japanese grenadier anchovy,pelagic-neritic,Coiliinae,0,50,NA,NA,41,NA,NA,42,N,21,N,109,E,134,E,NA,NA
Coilia ramcarati,632,Coilia,"(Hamilton, 1822)",Ramcarat grenadier anchovy,pelagic-neritic,Coiliinae,NA,NA,NA,NA,25,NA,NA,25,N,13,N,87,E,97,E,NA,NA
Coilia rebentischii,633,Coilia,"Bleeker, 1858",Many-fingered grenadier anchovy,pelagic-neritic,Coiliinae,0,50,NA,NA,15.199999809265137,NA,NA,14,N,1,N,106,E,111,E,NA,NA
Coilia reynaldi,634,Coilia,"Valenciennes, 1848",Reynald's grenadier anchovy,pelagic-neritic,Coiliinae,0,50,NA,NA,15,NA,NA,26,N,7,N,76,E,99,E,NA,NA
Colistium nudipinnis,12958,Colistium,"(Waite, 1911)",NA,demersal,NA,NA,NA,NA,NA,90,35,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colletteichthys dussumieri,1313,Colletteichthys,"(Valenciennes, 1837)",Flat toadfish,demersal,Halophryninae,NA,NA,NA,NA,27,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colletteichthys flavipinnis,66619,Colletteichthys,"Greenfield, Bineesh & Akhilesh, 2012",Yellowfin toadfish,demersal,Halophryninae,2,3,NA,NA,13.220000267028809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colletteichthys occidentalis,66430,Colletteichthys,"Greenfield, 2012",Arabian toadfish,demersal,Halophryninae,NA,NA,NA,NA,14.779999732971191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Collichthys lucidus,23635,Collichthys,"(Richardson, 1844)",NA,demersal,NA,NA,90,NA,NA,19.799999237060547,NA,77.0999984741211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Collichthys niveatus,23476,Collichthys,"Jordan & Starks, 1906",NA,demersal,NA,NA,80,NA,NA,15,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coloconger cadenati,9067,Coloconger,"Kanazawa, 1961",NA,bathydemersal,NA,270,600,NA,NA,90,NA,NA,14,N,17,S,NA,NA,NA,NA,NA,NA
Coloconger raniceps,23277,Coloconger,"Alcock, 1889",Froghead eel,bathydemersal,NA,300,1134,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coloconger scholesi,7674,Coloconger,"Chan, 1967",Indo-Pacific shorttail conger,bathydemersal,NA,412,970,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cologrammus flavescens,49312,Cologrammus,"(Hutton, 1872)",Short-tassel weedfish,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cololabis saira,303,Cololabis,"(Brevoort, 1856)",Pacific saury,pelagic-oceanic,NA,0,230,NA,NA,40,NA,180,67,N,18,N,117,E,108,W,NA,NA
Colomesus psittacus,7499,Colomesus,"(Bloch & Schneider, 1801)",Banded puffer,demersal,Tetraodontinae,1,40,NA,NA,29.299999237060547,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,26
Colpichthys hubbsi,13521,Colpichthys,"Crabtree, 1989",Delta silverside,pelagic-neritic,Atherinopsinae,NA,NA,NA,NA,15,11.600000381469727,NA,32,N,30,N,NA,NA,NA,NA,NA,NA
Colpichthys regis,6285,Colpichthys,"(Jenkins & Evermann, 1889)",False grunion,pelagic-neritic,Atherinopsinae,NA,NA,NA,NA,NA,15,NA,32,N,28,N,NA,NA,NA,NA,NA,NA
Conger cinereus,6654,Conger,"Rüppell, 1830",Longfin African conger,reef-associated,Congrinae,0,80,NA,NA,140,50,NA,32,N,47,S,24,E,140,W,NA,NA
Conger conger,301,Conger,"(Linnaeus, 1758)",European conger,demersal,Congrinae,0,1171,NA,NA,300,100,110000,68,N,12,N,32,W,42,E,NA,NA
Conger erebennus,23285,Conger,"(Jordan & Snyder, 1901)",NA,demersal,Congrinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conger esculentus,102,Conger,"Poey, 1861",Grey conger,reef-associated,Congrinae,120,400,NA,NA,160,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conger japonicus,23284,Conger,"Bleeker, 1879",Beach conger,demersal,Congrinae,NA,140,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conger macrocephalus,58533,Conger,"Kanazawa, 1958",NA,bathydemersal,Congrinae,203,329,NA,NA,80.30000305175781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conger myriaster,302,Conger,"(Brevoort, 1856)",Whitespotted conger,bathydemersal,Congrinae,320,830,NA,NA,100,NA,NA,46,N,19,N,113,E,143,E,NA,NA
Conger oceanicus,300,Conger,"(Mitchill, 1818)",American conger,demersal,Congrinae,1,477,75,150,230,100,40000,46,N,16,S,97,W,5,W,NA,NA
Conger triporiceps,1017,Conger,"Kanazawa, 1958",Manytooth conger,reef-associated,Congrinae,3,55,NA,NA,100,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conger verreauxi,13131,Conger,"Kaup, 1856",Conger,reef-associated,Congrinae,0,45,NA,NA,200,125,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conger wilsoni,7675,Conger,"(Bloch & Schneider, 1801)",Cape conger,reef-associated,Congrinae,0,30,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congiopodus coriaceus,47427,Congiopodus,"Paulin & Moreland, 1979",Deepsea pigfish,bathydemersal,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congiopodus leucopaecilus,15152,Congiopodus,"(Richardson, 1846)",Southern pigfish,demersal,NA,22,222,NA,100,35,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congiopodus peruvianus,8398,Congiopodus,"(Cuvier, 1829)",Horsefish,demersal,NA,NA,NA,NA,NA,27.149999618530273,NA,NA,3,S,55,S,82,W,52,W,NA,NA
Congiopodus spinifer,10689,Congiopodus,"(Smith, 1839)",Spinenose horsefish,demersal,NA,50,500,50,150,45,17,NA,23,S,35,S,NA,NA,NA,NA,NA,NA
Congiopodus torvus,10692,Congiopodus,"(Gronow, 1772)",Smooth horsefish,demersal,NA,10,300,NA,NA,76,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congrogadus spinifer,4417,Congrogadus,"(Borodin, 1933)",Spiny eel blenny,demersal,Congrogadinae,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congrogadus subducens,4419,Congrogadus,"(Richardson, 1843)",Carpet eel-blenny,reef-associated,Congrogadinae,0,10,NA,NA,45,NA,NA,35,N,25,S,NA,NA,NA,NA,NA,NA
Conidens laticephalus,24995,Conidens,"(Tanaka, 1909)",Broadhead clingfish,demersal,Incertae sedis,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conocara kreffti,51689,Conocara,"Sazonov, 1997",Wrinkled slickhead,bathypelagic,NA,1150,1700,NA,NA,38.599998474121094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conocara macropterum,10789,Conocara,"(Vaillant, 1888)",Longfin smooth-head,bathypelagic,NA,800,2200,1200,1800,34,NA,NA,60,N,26,S,98,W,1,W,NA,NA
Conocara murrayi,10795,Conocara,"(Koefoed, 1927)",Murray's smooth-head,bathypelagic,NA,1000,2875,2000,2600,34,NA,NA,53,N,25,N,66,W,45,E,NA,NA
Conocara nigrum,24558,Conocara,"(Günther, 1878)",Flathead slickhead,demersal,NA,NA,2562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conocara salmoneum,10806,Conocara,"(Gill & Townsend, 1897)",Salmon smooth-head,bathypelagic,NA,2400,4500,3000,NA,73,NA,NA,53,N,11,N,175,W,1,W,NA,NA
Conodon nobilis,401,Conodon,"(Linnaeus, 1758)",Barred grunt,demersal,Haemulinae,1,100,NA,NA,31.200000762939453,25,411.20001220703125,30,N,33,S,99,W,30,W,NA,NA
Conodon serrifer,13706,Conodon,"Jordan & Gilbert, 1882",Armed grunt,demersal,Haemulinae,10,60,NA,NA,34,25,NA,32,N,NA,NA,NA,NA,NA,NA,NA,NA
Cookeolus japonicus,3517,Cookeolus,"(Cuvier, 1829)",Longfinned bullseye,reef-associated,NA,40,400,165,200,69,30,4950,46,N,56,S,25,e,5,w,NA,NA
Coptodon guineensis,2488,Coptodon,"(Günther, 1862)",Guinean tilapia,benthopelagic,Pseudocrenilabrinae,NA,NA,NA,NA,30,NA,NA,16,N,12,S,17,w,16,e,22,26
Coradion altivelis,11250,Coradion,"McCulloch, 1916",Highfin coralfish,reef-associated,NA,3,30,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coradion chrysozonus,5583,Coradion,"(Cuvier, 1831)",Goldengirdled coralfish,reef-associated,NA,3,60,NA,NA,15,NA,NA,28,N,24,S,94,e,173,w,NA,NA
Coradion melanopus,10287,Coradion,"(Cuvier, 1831)",Twospot coralfish,reef-associated,NA,10,30,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coralliozetus angelicus,46728,Coralliozetus,"(Böhlke & Mead, 1957)",Angel blenny,reef-associated,NA,1,4,NA,NA,3.5,NA,NA,32,N,17,N,115,W,94,W,NA,NA
Coralliozetus boehlkei,54348,Coralliozetus,"Stephens, 1963",Barcheek blenny,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coralliozetus cardonae,16499,Coralliozetus,"Evermann & Marsh, 1899",Twinhorn blenny,reef-associated,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coralliozetus micropes,46729,Coralliozetus,"(Beebe & Tee-Van, 1938)",Scarletfin blenny,reef-associated,NA,1,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coralliozetus rosenblatti,46733,Coralliozetus,"Stephens, 1963",Spikefin blenny,reef-associated,NA,1,4,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coralliozetus springeri,46735,Coralliozetus,"Stephens & Johnson, 1966",NA,reef-associated,NA,5,15,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corcyrogobius liechtensteini,16279,Corcyrogobius,"(Kolombatović, 1891)",Liechtenstein's goby,demersal,Gobiinae,NA,NA,NA,NA,2.5,NA,NA,46,N,37,N,1,E,20,E,NA,NA
Corcyrogobius lubbocki,22734,Corcyrogobius,"Miller, 1988",NA,demersal,Gobiinae,10,30,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corcyrogobius pulcher,69651,Corcyrogobius,"Kovačić, Wirtz & Schliewen, 2020",Senegal goby,demersal,Gobiinae,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coregonus albula,231,Coregonus,"(Linnaeus, 1758)",Vendace,benthopelagic,Coregoninae,30,NA,NA,NA,48,20,1000,66,N,59,N,16,E,31,E,NA,NA
Coregonus artedi,235,Coregonus,"Lesueur, 1818",Cisco,pelagic-neritic,Coregoninae,0,64,NA,NA,57,29.25,3350,71,N,38,N,136,w,69,w,0,26
Coregonus autumnalis,2669,Coregonus,"(Pallas, 1776)",Arctic cisco,pelagic-neritic,Coregoninae,NA,NA,NA,NA,65,47,NA,84,N,49,N,8,w,95,w,NA,NA
Coregonus huntsmani,6207,Coregonus,"Scott, 1987",Atlantic whitefish,pelagic-neritic,Coregoninae,NA,NA,NA,NA,40,27.5,NA,44,N,43,N,NA,NA,NA,NA,NA,NA
Coregonus laurettae,46941,Coregonus,"Bean, 1881",Bering cisco,pelagic-neritic,Coregoninae,NA,NA,NA,NA,36,30,NA,69,N,58,N,NA,NA,NA,NA,NA,NA
Coregonus maraena,48236,Coregonus,"(Bloch, 1779)",Maraena whitefish,demersal,Coregoninae,10,20,NA,NA,130,NA,10000,69,N,49,N,7,E,37,E,NA,NA
Coregonus muksun,12547,Coregonus,"(Pallas, 1814)",Muksun,benthopelagic,Coregoninae,NA,NA,NA,NA,90,NA,13800,78,n,63,n,58,e,163,e,NA,NA
Coregonus peled,4687,Coregonus,"(Gmelin, 1789)",Peled,demersal,Coregoninae,5,11,NA,NA,50,NA,5000,74,N,64,N,NA,NA,NA,NA,NA,NA
Coregonus pidschian,2676,Coregonus,"(Gmelin, 1789)",Humpback whitefish,demersal,Coregoninae,NA,NA,NA,NA,50,32.79999923706055,NA,71,N,44,N,5,w,133,w,NA,NA
Coregonus sardinella,2678,Coregonus,"Valenciennes, 1848",Sardine cisco,pelagic-neritic,Coregoninae,NA,NA,NA,NA,47,23,555,78,N,62,N,45,e,95,w,NA,NA
Coregonus ussuriensis,12548,Coregonus,"Berg, 1906",Amur whitefish,benthopelagic,Coregoninae,NA,NA,NA,NA,60,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corica soborna,1566,Corica,"Hamilton, 1822",Ganges river sprat,pelagic-neritic,NA,NA,NA,NA,NA,5.300000190734863,NA,NA,24,N,3,S,81,E,114,E,NA,NA
Coris atlantica,58407,Coris,"Günther, 1862",NA,reef-associated,Corinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coris auricularis,25769,Coris,"(Valenciennes, 1839)",Western king wrasse,reef-associated,Corinae,1,45,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coris aurilineata,13029,Coris,"Randall & Kuiter, 1982",Goldlined coris,reef-associated,Corinae,3,10,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coris aygula,5624,Coris,"Lacepède, 1801",Clown coris,reef-associated,Corinae,2,30,2,30,120,NA,NA,30,N,30,S,NA,NA,NA,NA,24,28
Coris batuensis,25688,Coris,"(Bleeker, 1856)",Batu coris,reef-associated,Corinae,2,30,2,15,17,NA,NA,32,n,36,s,24,e,173,w,24,28
Coris bulbifrons,12729,Coris,"Randall & Kuiter, 1982",Doubleheader,reef-associated,Corinae,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coris caudimacula,8026,Coris,"(Quoy & Gaimard, 1834)",Spottail coris,reef-associated,Corinae,1,57,3,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,28
Coris cuvieri,52844,Coris,"(Bennett, 1831)",NA,reef-associated,Corinae,2,50,NA,NA,38,NA,NA,NA,NA,30,S,NA,NA,NA,NA,NA,NA
Coris debueni,55262,Coris,"Randall, 1999",De Buen's coris,reef-associated,Corinae,1,60,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coris dorsomacula,6657,Coris,"Fowler, 1908",Pale-barred coris,reef-associated,Corinae,2,40,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coris flavovittata,7827,Coris,"(Bennett, 1828)",Yellowstripe coris,reef-associated,Corinae,1,98,15,NA,50.79999923706055,NA,4620,30,N,15,N,NA,NA,NA,NA,NA,NA
Coris formosa,7736,Coris,"(Bennett, 1830)",Queen coris,reef-associated,Corinae,NA,20,2,50,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,27
Coris gaimard,5625,Coris,"(Quoy & Gaimard, 1824)",African coris,reef-associated,Corinae,0,50,NA,NA,40,20,NA,37,N,31,S,96,E,142,W,NA,NA
Coris hewetti,55344,Coris,"Randall, 1999",NA,reef-associated,Corinae,1,40,NA,NA,13.899999618530273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coris julis,58,Coris,"(Linnaeus, 1758)",Mediterranean rainbow wrasse,reef-associated,Corinae,0,120,1,60,30,20,NA,59,N,1,S,32,W,36,E,18,22
Coris marquesensis,55347,Coris,"Randall, 1999",NA,reef-associated,Corinae,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coris picta,7183,Coris,"(Bloch & Schneider, 1801)",Comb wrasse,reef-associated,Corinae,NA,NA,3,25,25,NA,NA,35,N,37,S,NA,NA,NA,NA,20,26
Coris pictoides,5107,Coris,"Randall & Kuiter, 1982",Blackstripe coris,reef-associated,Corinae,9,55,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coris roseoviridis,55349,Coris,"Randall, 1999",NA,reef-associated,Corinae,12,58,NA,NA,19.799999237060547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coris sandeyeri,12793,Coris,"(Hector, 1884)",Sandager's wrasse,reef-associated,Corinae,NA,60,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coris venusta,7826,Coris,"Vaillant & Sauvage, 1875",Elegant coris,reef-associated,Corinae,2,10,NA,NA,19.299999237060547,NA,NA,30,N,15,N,NA,NA,NA,NA,NA,NA
Corniger spinosus,3246,Corniger,"Agassiz, 1831",Spinycheek soldierfish,demersal,Myripristinae,45,275,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corvula macrops,14101,Corvula,"(Steindachner, 1876)",Vacuocua croaker,benthopelagic,NA,NA,NA,NA,NA,25,20,NA,27,N,1,S,NA,NA,NA,NA,NA,NA
Corvula sanctaeluciae,1167,Corvula,"Jordan, 1890",Striped croaker,demersal,NA,NA,35,NA,NA,26,22,NA,28,n,4,N,98,w,51,w,NA,NA
Cottus hangiongensis,23934,Cottus,"Mori, 1930",NA,demersal,NA,NA,NA,NA,NA,15,NA,NA,48,N,36,N,NA,NA,NA,NA,NA,NA
Cryptopsaras couesii,3098,Cryptopsaras,"Gill, 1883",Triplewart seadevil,bathypelagic,NA,0,3085,500,1250,7.300000190734863,NA,NA,81,N,52,S,180,W,180,E,NA,NA
Cryptopsilotris batrachodes,16638,Cryptopsilotris,"(Böhlke, 1963)",Toadfish goby,reef-associated,Gobiinae,8,50,NA,NA,1.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptotomus roseus,3674,Cryptotomus,"Cope, 1871",Bluelip parrotfish,reef-associated,Sparisomatinae,NA,60,NA,NA,13,10,NA,32,N,33,S,NA,NA,NA,NA,NA,NA
Crystallias matsushimae,24140,Crystallias,"Jordan & Snyder, 1902",NA,demersal,NA,30,700,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crystallichthys cyclospilus,4180,Crystallichthys,"Gilbert & Burke, 1912",Blotched snailfish,demersal,NA,53,830,NA,NA,NA,NA,NA,67,N,55,N,160,E,150,W,NA,NA
Crystallodytes cookei,58169,Crystallodytes,"Fowler, 1923",Cooke's sandburrower,demersal,NA,0,15,NA,NA,5.849999904632568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclothone alba,9968,Cyclothone,"Brauer, 1906",Bristlemouth,bathypelagic,NA,25,4938,300,800,5.599999904632568,NA,NA,60,N,NA,NA,NA,NA,NA,NA,NA,NA
Cyclothone atraria,7384,Cyclothone,"Gilbert, 1905",Deep-water bristlemouth,bathypelagic,NA,298,4938,400,2400,6.199999809265137,NA,NA,64,N,20,N,105,E,130,W,NA,NA
Cyclothone braueri,1774,Cyclothone,"Jespersen & Tåning, 1926",Garrick,bathypelagic,NA,10,2000,200,900,4.599999904632568,NA,NA,67,N,40,S,180,W,180,E,NA,NA
Cyclothone kobayashii,56147,Cyclothone,"Miya, 1994",Kobayashi's bristlemouth,bathydemersal,NA,0,1058,NA,NA,4.190000057220459,NA,NA,38,S,67,S,NA,NA,NA,NA,NA,NA
Cyclothone livida,9980,Cyclothone,"Brauer, 1902",NA,bathypelagic,NA,300,2000,500,800,3.5999999046325684,NA,NA,60,N,17,S,20,W,14,E,NA,NA
Cyclothone microdon,1775,Cyclothone,"(Günther, 1878)",Veiled anglemouth,bathypelagic,NA,200,5301,500,2700,7.599999904632568,NA,NA,67,N,45,S,180,W,180,E,NA,NA
Cyclothone obscura,9983,Cyclothone,"Brauer, 1902",Hidden bristlemouth,bathypelagic,NA,900,3500,2000,2600,6.599999904632568,NA,NA,36,N,45,S,180,W,180,E,NA,NA
Cyclothone pallida,6966,Cyclothone,"Brauer, 1902",Tan bristlemouth,bathypelagic,NA,16,4663,600,1800,4.800000190734863,NA,NA,61,N,40,S,180,W,180,E,NA,NA
Cyclothone parapallida,16494,Cyclothone,"Badcock, 1982",Shadow bristlemouth,bathypelagic,NA,0,3140,900,1250,6.650000095367432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclothone pseudopallida,6967,Cyclothone,"Mukhacheva, 1964",Slender bristlemouth,bathypelagic,NA,0,4938,300,900,4.599999904632568,NA,NA,61,N,68,S,NA,NA,NA,NA,NA,NA
Cyclothone pygmaea,9989,Cyclothone,"Jespersen & Tåning, 1926",NA,bathypelagic,NA,500,1400,NA,NA,2,NA,NA,47,N,30,N,6,W,36,E,NA,NA
Cyclothone signata,25278,Cyclothone,"Garman, 1899",Showy bristlemouth,bathypelagic,NA,16,4938,100,800,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyema atrum,9108,Cyema,"Günther, 1878",Bobtail eel,bathypelagic,NA,330,5100,NA,NA,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
