Species,SpecCode,DepthRangeShallow,DepthRangeDeep,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Acanthogobius hasta,13045,NA,NA,38,N,22,N,118,E,122,E,NA,NA
Acanthogobius insularis,67376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthogobius lactipes,23696,NA,NA,53,N,34,N,116,E,143,E,NA,NA
Acanthogobius luridus,55485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthogobius stigmothonus,69021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acantholabrus palloni,7633,30,500,62,N,1,S,32,W,11,E,NA,NA
Acantholiparis opercularis,25262,227,3610,55,N,42,N,157,E,124,W,NA,NA
Acantholumpenus mackayi,3771,0,200,70,n,44,n,134,e,120,w,NA,NA
Acanthonus armatus,8943,1171,4415,36,N,23,S,81,W,154,E,NA,NA
Acanthopagrus arabicus,67314,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus australis,8109,NA,NA,19,S,38,S,NA,NA,NA,NA,NA,NA
Acanthopagrus berda,5526,NA,50,30,n,35,s,22,e,103,e,NA,NA
Achiroides leucorhynchos,25162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achiropsetta tricholepis,7119,21,1186,41,S,59,S,180,W,180,E,NA,NA
Achirus achirus,7572,1,20,NA,NA,NA,NA,NA,NA,NA,NA,25,28
Aetomylaeus maculatus,12594,1,18,30,N,23,s,51,e,167,e,NA,NA
Aetomylaeus milvus,12597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aetomylaeus nichofii,10120,1,100,41,N,24,S,51,E,154,E,NA,NA
Aetomylaeus vespertilio,12599,1,110,28,N,24,S,32,E,155,E,NA,NA
Acanthopagrus bifasciatus,4543,2,20,32,N,10,N,33,E,65,E,NA,NA
Acanthopagrus butcheri,14601,NA,NA,23,S,44,S,112,E,154,E,NA,NA
Acanthopagrus catenula,67289,NA,NA,20,N,37,S,28,E,67,E,NA,NA
Acanthopagrus chinshira,63767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus datnia,67331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus latus,6356,NA,NA,34,n,15,n,105,e,137,e,NA,NA
Acanthopagrus pacificus,65896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus palmaris,8110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus schlegelii,6531,15,NA,43,N,20,N,107,W,143,W,NA,NA
Acanthopagrus sheim,67333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus sivicolus,6583,NA,NA,30,N,24,N,NA,NA,NA,NA,NA,NA
Acanthopagrus taiwanensis,63153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus vagus,65558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthoplesiops psilogaster,59172,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopsetta nadeshnyi,8836,18,900,66,N,NA,NA,NA,NA,NA,NA,NA,NA
Acanthostracion polygonium,4287,3,80,42,N,35,S,99,w,34,w,NA,NA
Acanthostracion quadricornis,92,1,80,43,N,39,S,100,W,26,E,NA,NA
Acanthurus achilles,4306,0,10,28,N,26,S,143,E,109,W,NA,NA
Acanthurus albimento,68166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthurus albipectoralis,13770,5,20,12,s,34,S,142,E,170,w,NA,NA
Acanthurus auranticavus,4748,1,20,20,N,25,S,35,E,172,W,NA,NA
Acanthurus bahianus,68792,2,80,0,S,30,S,50,W,5,W,NA,NA
Acanthurus bariene,4307,6,50,30,N,24,S,32,e,179,e,23,29
Acanthurus blochii,4750,2,15,31,N,34,S,25,e,156,w,NA,NA
Acanthurus chirurgus,943,2,25,43,N,30,S,98,W,14,W,22,25
Acanthurus chronixis,6010,0,6,2,N,1,N,NA,NA,NA,NA,NA,NA
Acanthurus coeruleus,944,2,50,43,N,27,S,100,W,4,W,NA,NA
Acanthurus dussumieri,1256,4,131,40,N,37,S,17,e,155,W,24,28
Acanthurus gahhm,17471,5,50,30,n,10,n,32,e,54,e,22,28
Acanthurus grammoptilus,4749,22,91,22,n,30,s,91,e,167,w,NA,NA
Acanthurus guttatus,4736,0,10,30,N,30,S,52,E,140,W,NA,NA
Acanthurus japonicus,23375,1,20,NA,NA,NA,NA,NA,NA,NA,NA,24,28
Acanthurus leucocheilus,4741,0,40,19,N,3,N,NA,NA,NA,NA,23,27
Acanthurus leucopareius,4737,1,85,32,N,28,S,119,e,109,w,24,28
Acanthurus leucosternon,1257,0,25,26,N,30,S,31,E,129,E,23,28
Acanthurus lineatus,1258,0,15,36,N,36,S,27,E,137,W,24,30
Acanthurus maculiceps,4746,1,15,31,N,15,S,72,E,157,W,24,28
Acanthurus mata,1255,5,100,35,N,35,S,30,E,137,W,23,28
Acanthurus monroviae,1800,5,200,31,N,15,S,27,W,14,e,20,25
Acanthurus nigricans,6011,0,67,30,N,24,S,NA,NA,NA,NA,21,29
Acanthurus nigricauda,4747,0,30,30,N,24,S,39,E,143,W,23,28
Acanthurus nigrofuscus,4739,0,25,31,N,34,S,3,E,123,W,24,28
Acanthurus nigroris,4738,1,90,30,N,26,S,52,E,137,W,NA,NA
Acanthurus nubilus,4733,5,90,NA,NA,NA,NA,NA,NA,NA,NA,24,28
Acanthurus olivaceus,4744,3,46,35,N,32,S,95,E,139,W,24,28
Acanthurus polyzona,4732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthurus pyroferus,4742,0,60,32,N,24,S,55,E,138,W,NA,NA
Acanthurus reversus,58792,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthurus sohal,4740,0,NA,30,n,2,s,32,e,122,e,24,30
Acanthurus tennentii,1259,1,40,21,n,30,s,30,e,116,e,24,28
Acanthurus thompsoni,4734,0,119,23,N,29,S,32,E,124,W,24,27
Acanthurus tractus,942,11,45,44,N,7,N,98,W,59,W,21,25
Acanthurus triostegus,1260,0,90,26,N,36,S,25,E,85,W,NA,NA
Acanthurus tristis,12782,2,30,24,N,9,S,71,E,116,E,NA,NA
Acanthurus xanthopterus,1261,1,100,35,N,35,S,23,e,77,w,24,28
Acentrogobius caninus,4894,NA,NA,26,N,27,S,51,E,135,W,NA,NA
Acentrogobius dayi,46432,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius gracilis,27549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius janthinopterus,23581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius moloanus,23582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius multifasciatus,23583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius nebulosus,7228,0,15,35,n,35,s,20,e,166,w,NA,NA
Acentrogobius pflaumii,23585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius signatus,17033,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius suluensis,23587,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius vanderloosi,68735,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius viganensis,23590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius viridipunctatus,15776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
Acentronura breviperula,66887,1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentronura tentaculata,16862,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrophryne dolichonema,62231,201,1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceroichthys dioctes,60002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achirus declivis,52941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achirus lineatus,4256,1,20,30,N,44,s,98,w,26,w,NA,NA
Achirus mucuri,64929,NA,NA,18,S,19,S,39,W,40,W,NA,NA
Achoerodus gouldii,14420,5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achoerodus viridis,50808,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipenser brevirostrum,2590,6,53,49,N,28,N,82,W,65,W,NA,NA
