Species,SpecCode,DepthRangeShallow,DepthRangeDeep,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Dicrolene tristis,23232,560,990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyosoma burgeri,23793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyosoma rubrimaculatum,23794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyosoma tongyeongensis,67002,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Didogobius kochi,22739,6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dinematichthys iluocoeteoides,7300,1,30,30,N,28,S,NA,NA,NA,NA,NA,NA
Dinolestes lewini,4332,5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dinoperca petersi,5522,NA,50,26,N,34,S,NA,NA,NA,NA,NA,NA
Diodon eydouxii,14490,1,NA,31,N,37,S,50,W,154,W,NA,NA
Diodon holocanthus,4659,2,200,37,N,39,S,8,E,55,W,NA,NA
Diodon hystrix,1022,2,50,35,N,31,S,180,w,180,E,NA,NA
Diodon liturosus,6552,1,90,30,N,30,S,NA,NA,NA,NA,NA,NA
Diodon nicthemerus,12864,1,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diogenichthys atlanticus,7409,0,1050,50,N,48,S,82,W,109,W,NA,NA
Diogenichthys laternatus,2733,0,2091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplacanthopoma brachysoma,56422,460,1670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplecogaster bimaculata,64,0,20,64,N,35,N,11,W,31,E,NA,NA
Diplecogaster umutturali,69213,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplectrum bivittatum,3318,NA,100,33,N,2,S,98,w,34,w,NA,NA
Diplectrum euryplectrum,14231,15,150,32,N,NA,NA,NA,NA,NA,NA,NA,NA
Diplectrum formosum,1203,1,80,42,N,35,S,98,W,28,w,NA,NA
Diplectrum maximum,14233,NA,NA,24,N,4,N,NA,NA,NA,NA,NA,NA
Diplectrum pacificum,14248,1,90,32,N,12,S,115,W,76,W,NA,NA
Diplectrum radiale,7330,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,20,25
Diplobatis ommata,8723,3,94,28,N,2,S,113,W,83,W,NA,NA
Diplocrepis puniceus,46298,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplodus annularis,1752,0,90,49,N,27,N,19,W,42,E,NA,NA
Diplodus argenteus,3574,0,NA,20,S,35,S,NA,NA,NA,NA,NA,NA
Diplodus bellottii,8062,0,100,38,N,13,N,27,w,5,w,NA,NA
Diplodus bermudensis,8106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplodus capensis,6004,0,50,NA,NA,35,S,NA,NA,NA,NA,NA,NA
Diplodus cervinus,2497,30,300,47,N,35,S,19,W,36,E,NA,NA
Diplodus fasciatus,8063,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplodus holbrookii,1231,1,28,40,N,20,N,98,w,75,w,NA,NA
Diplodus hottentotus,7932,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplodus kotschyi,8113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplodus levantinus,68249,0,50,34,n,32,N,34,e,35,E,NA,NA
Diplodus noct,8112,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplodus prayensis,8064,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplodus puntazzo,1749,0,150,42,N,28,S,26,W,42,E,NA,NA
Diplodus sargus,1753,0,50,48,N,36,S,29,W,42,E,NA,NA
Diplodus vulgaris,1754,0,160,50,N,40,S,26,W,36,E,NA,25
Diplogrammus goramensis,13764,5,40,30,N,24,S,NA,NA,NA,NA,NA,NA
Diplogrammus infulatus,17029,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplogrammus xenicus,25837,9,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplophos australis,54857,NA,102,20,S,NA,NA,NA,NA,NA,NA,NA,NA
Diplophos orientalis,22713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplophos rebainsi,16709,900,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplophos taenia,10155,0,1594,40,N,30,S,NA,NA,NA,NA,NA,NA
Diploprion bifasciatum,6603,1,100,35,n,32,s,72,e,171,e,NA,NA
Diploprion drachi,24437,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplospinus multistriatus,8460,50,1000,42,N,38,S,180,W,180,E,NA,NA
Diproctacanthus xanthurus,5108,2,25,19,N,25,s,99,e,172,e,24,28
Dipterygonotus balteatus,928,37,91,28,N,24,S,43,E,163,E,NA,NA
Dipturus argentinensis,64715,87,142,NA,NA,NA,NA,NA,NA,NA,NA,5.9,9.38
Dipturus batis,2058,100,1000,70,N,48,N,30,W,20,E,NA,NA
Dipturus campbelli,25569,137,403,20,S,31,S,30,E,38,E,NA,NA
Dipturus canutus,63962,330,730,32,S,45,S,129,E,154,E,NA,NA
Dipturus chinensis,63316,NA,NA,20,N,35,N,115,E,125,E,NA,NA
Dipturus crosnieri,54103,300,850,19,S,22,S,41,E,44,E,NA,NA
Dipturus flavirostris,54601,NA,NA,32,s,56,s,73,w,57,w,NA,NA
Dipturus gigas,15414,300,1000,19,N,37,N,121,E,142,E,NA,NA
Dipturus gudgeri,24079,160,765,28,S,44,S,112,E,155,E,NA,NA
Dipturus innominatus,13145,15,1310,33,S,43,S,166,E,178,W,NA,NA
Dipturus intermedius,68885,1,1500,49,N,70,N,32,W,15,E,NA,NA
Dipturus johannisdavisi,47130,220,660,15,N,8,S,40,E,94,E,NA,NA
Dipturus kwangtungensis,54036,50,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipturus laevis,2561,0,750,51,N,33,N,84,W,42,W,0,20
Dipturus lamillai,69294,162,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipturus leptocauda,54117,400,521,20,S,40,S,60,W,40,W,NA,NA
Dipturus macrocauda,22551,300,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipturus nidarosiensis,8900,125,1420,67,N,16,N,25,w,14,e,NA,NA
Dipturus oxyrinchus,7616,70,1461,65,N,11,N,19,W,36,E,NA,NA
Dipturus pullopunctatus,7960,50,457,26,S,36,S,12,E,29,E,NA,NA
Dipturus springeri,7962,88,740,21,N,37,S,11,E,77,E,NA,NA
Dipturus tengu,15415,45,400,42,N,15,N,121,E,144,E,NA,NA
Dipturus trachyderma,50858,93,450,22,S,57,s,99,W,42,w,NA,NA
Diretmichthys parini,9057,0,2100,40,N,40,S,71,W,154,W,NA,NA
Diretmoides pauciradiatus,9056,0,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diretmoides veriginae,15708,340,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diretmus argenteus,4958,0,2000,65,N,40,S,NA,NA,NA,NA,NA,NA
Dischistodus pseudochrysopoecilus,8242,1,5,21,N,25,S,108,e,171,e,NA,NA
Discopyge tschudii,8396,5,165,15,S,56,S,76,W,50,W,NA,NA
Discopyge tschudii,8396,5,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discordipinna griessingeri,7212,2,45,NA,NA,NA,NA,NA,NA,NA,NA,23,27
Discotrema crinophilum,7494,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discotrema monogrammum,63700,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissostichus eleginoides,467,0,2144,33,S,66,S,77,W,180,E,NA,NA
Dissostichus mawsoni,7039,0,2200,45,S,78,S,180,W,180,E,NA,NA
Ditrema jordani,64734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ditrema temminckii,13038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ditrema viride,23494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ditropichthys storeri,9042,650,3400,45,N,45,S,NA,NA,NA,NA,NA,NA
Doboatherina duodecimalis,1302,0,4,24,N,24,S,43,E,172,e,NA,NA
Doederleinia berycoides,4599,100,600,25,N,21,S,115,E,177,W,NA,NA
Dolicholagus longirostris,9168,200,1497,39,N,21,S,NA,NA,NA,NA,NA,NA
Dolichopteryx longipes,9121,500,2400,45,N,27,N,180,W,180,E,NA,NA
Dolichopteryx minuscula,63387,1000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolichosudis fuliginosa,10168,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolloidraco longedorsalis,7069,203,1145,64,S,78,S,NA,NA,NA,NA,NA,NA
Dolopichthys danae,16904,600,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolopichthys karsteni,61000,700,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolopichthys longicornis,16912,1375,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolopichthys pullatus,16921,800,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doratonotus megalepis,3658,1,15,33,N,29,s,98,w,10,e,NA,NA
Dormitator latifrons,3826,1,NA,41,N,0,S,NA,NA,NA,NA,25,33
Dormitator lebretonis,10008,NA,NA,16,N,18,S,19,W,14,E,NA,NA
Dormitator maculatus,3827,NA,NA,37,N,5,S,NA,NA,NA,NA,17,35
Dorosoma cepedianum,1604,0,33,49,N,21,N,108,W,70,W,NA,31.5
Dorosoma petenense,1606,0,15,42,N,15,N,159,W,81,W,20,30
Doryrhamphus bicarinatus,16864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doryrhamphus excisus,5969,2,50,30,N,32,S,NA,NA,NA,NA,NA,NA
Doryrhamphus janssi,5970,0,35,19,N,29,S,NA,NA,NA,NA,NA,NA
Doryrhamphus japonicus,23083,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doryrhamphus paulus,46120,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dotalabrus aurantiacus,46798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dotsugobius bleekeri,27566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Draconetta xenica,24195,128,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Draculo celetus,17030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Draculo mirabilis,24315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drepane africana,455,10,75,30,N,17,S,27,W,13,E,NA,NA
Drepane longimana,7692,26,85,36,N,34,S,26,E,169,E,NA,NA
Drepane punctata,454,10,49,32,N,26,S,32,e,160,w,NA,NA
Drombus globiceps,25070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drombus kranjiensis,25072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drombus ocyurus,59244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drombus simulus,9971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drombus triangularis,9944,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dules auriga,12931,15,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunckerocampus baldwini,12771,6,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunckerocampus boylei,54745,20,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunckerocampus chapmani,46121,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunckerocampus dactyliophorus,5972,5,56,33,N,26,S,NA,NA,NA,NA,NA,NA
Dunckerocampus multiannulatus,14286,3,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunckerocampus naia,64209,15,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunckerocampus pessuliferus,7723,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dussumieria acuta,1453,10,20,31,N,7,S,49,E,126,E,NA,NA
Dussumieria elopsoides,1454,0,50,31,N,26,S,32,E,168,w,NA,NA
Dysalotus alcocki,16915,0,2100,35,N,11,S,75,W,137,W,NA,NA
Dysalotus oligoscolus,16916,1500,NA,33,N,49,S,NA,NA,NA,NA,NA,NA
Echeneis naucrates,2467,1,85,45,N,45,S,180,W,180,E,NA,NA
Echeneis neucratoides,3543,NA,NA,43,N,4,N,98,w,51,w,NA,NA
Echidna catenata,2609,0,12,33,n,30,s,82,w,14,w,NA,NA
Echidna delicatula,23273,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echidna leucotaenia,6486,0,24,17,N,24,S,NA,NA,NA,NA,NA,NA
Elacatinus randalli,23731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,27
Elacatinus xanthiprora,3878,7,26,37,N,8,N,NA,NA,NA,NA,NA,NA
Elagatis bipinnulata,412,0,150,44,N,41,S,180,W,180,E,NA,NA
Elassodiscus caudatus,51443,335,1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elassodiscus tremebundus,51417,130,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elates ransonnettii,6637,5,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engraulis anchoita,1659,30,200,21,S,50,S,67,W,34,W,NA,NA
Engraulis australis,1660,31,70,20,S,47,S,109,E,177,W,NA,NA
Engraulis encrasicolus,66,0,400,62,N,37,S,18,W,42,E,NA,NA
Engraulis encrasicolus,66,0,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echidna nebulosa,5388,0,48,32,N,33,S,27,E,76,W,NA,NA
Echidna polyzona,5389,0,20,30,N,24,S,NA,NA,NA,NA,NA,NA
Echidna rhodochilus,11709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echidna unicolor,6487,2,25,17,N,18,S,NA,NA,NA,NA,NA,NA
Echidna xanthospilos,27394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echiichthys vipera,1364,3,50,59,N,20,N,19,W,36,E,NA,NA
Echinophryne crassispina,14039,0,20,37,S,47,S,134,E,152,E,NA,NA
Echinophryne mitchellii,14042,30,70,38,S,47,S,147,E,152,E,NA,NA
Echinorhinus brucus,641,10,900,72,N,55,S,98,W,173,W,NA,NA
Echinorhinus cookei,642,11,1100,47,N,55,S,119,E,68,W,NA,NA
Echiodon cryomargarites,7141,400,1441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echiodon drummondii,65,52,403,65,N,50,N,23,W,10,E,NA,NA
Echiophis intertinctus,2643,NA,100,37,N,6,S,NA,NA,NA,NA,NA,NA
Echiophis punctifer,2645,40,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echiostoma barbatum,10214,30,4200,48,N,40,S,NA,NA,NA,NA,NA,NA
Eckloniaichthys scylliorhiniceps,23227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius aroni,25794,10,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius axelrodi,14660,3,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius bicolor,6033,1,25,30,N,30,S,NA,NA,NA,NA,NA,NA
Ecsenius bimaculatus,7668,1,15,19,N,7,s,112,e,131,e,NA,NA
Ecsenius dentex,27295,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius frontalis,12634,3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius gravieri,12635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius isos,47384,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius lineatus,7567,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius lividanalis,7661,1,12,20,N,15,S,NA,NA,NA,NA,NA,NA
Ecsenius mandibularis,13759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius midas,7561,2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius minutus,12636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius monoculus,7666,0,7,20,N,15,S,NA,NA,NA,NA,NA,NA
Ecsenius nalolo,25451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius namiyei,7664,1,30,26,N,15,S,NA,NA,NA,NA,NA,NA
Ecsenius oculus,7568,4,15,30,N,20,N,NA,NA,NA,NA,NA,NA
Ecsenius opsifrontalis,6034,NA,NA,16,N,15,S,NA,NA,NA,NA,NA,NA
Ecsenius pardus,27280,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius pulcher,27276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius springeri,69217,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius stictus,13760,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecsenius stigmatura,7663,2,30,20,N,15,S,NA,NA,NA,NA,NA,NA
Ecsenius yaeyamaensis,6036,0,15,26,N,27,S,79,e,171,e,NA,NA
Ectreposebastes imus,5101,150,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectreposebastes niger,46988,0,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edentoliparis terraenovae,7177,0,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehirava fluviatilis,1559,NA,NA,14,N,4,N,73,E,83,E,NA,NA
Einara edentula,10813,700,2000,45,N,13,N,180,W,180,E,NA,NA
Ekemblemaria myersi,46744,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ekemblemaria nigra,47264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elacatinus atronasus,47274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elacatinus cayman,67639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elacatinus centralis,67640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elacatinus chancei,23734,10,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elacatinus colini,64950,NA,NA,17,N,16,N,88,W,89,W,NA,NA
Elacatinus evelynae,16640,1,53,NA,NA,NA,NA,NA,NA,NA,NA,22,27
Elacatinus figaro,50627,3,20,7,S,28,S,NA,NA,NA,NA,NA,NA
Elacatinus genie,12443,NA,NA,27,N,19,N,NA,NA,NA,NA,23,28
Elacatinus horsti,3873,7,27,NA,NA,9,N,NA,NA,NA,NA,NA,NA
Elacatinus illecebrosus,23732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,28
Elacatinus lobeli,65036,0,NA,17,N,16,N,88,W,89,W,NA,NA
Elacatinus lori,61017,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elacatinus louisae,16639,13,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elacatinus oceanops,3876,1,45,28,n,16,N,98,w,61,w,21,28
Elacatinus phthirophagus,64757,3,18,3,S,4,S,32,W,33,W,NA,NA
Elacatinus pridisi,62023,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elacatinus prochilos,23733,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elacatinus puncticulatus,46894,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Electrona antarctica,6984,1,1010,45,S,78,S,180,w,180,e,NA,NA
Electrona carlsbergi,6985,1,1008,39,S,69,S,180,W,180,E,NA,NA
Electrona paucirastra,6986,0,NA,35,S,48,S,NA,NA,NA,NA,NA,NA
Electrona risso,1714,90,1485,55,N,46,S,NA,NA,NA,NA,NA,NA
Electrona subaspera,6987,0,NA,47,S,62,S,NA,NA,NA,NA,NA,NA
Eleginops maclovinus,466,0,250,32,S,57,S,76,w,53,w,NA,NA
Eleginus gracilis,315,0,300,75,N,30,N,124,E,123,W,NA,NA
Eleotris amblyopsis,28013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,28
Eleotris fusca,8034,0,5,45,N,27,S,NA,NA,NA,NA,25,NA
Eleotris lutea,25264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleotris melanosoma,10013,0,5,45,N,22,S,NA,NA,NA,NA,25,NA
Eleotris oxycephala,15874,NA,NA,37,N,27,N,NA,NA,NA,NA,NA,NA
Eleotris pisonis,3829,NA,NA,32,N,NA,NA,NA,NA,NA,NA,25,30
Eleutherochir opercularis,25050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutheronema rhadinum,59426,5,8,42,N,15,N,105,E,142,E,NA,NA
Eleutheronema tetradactylum,340,0,23,32,N,26,S,47,E,154,E,NA,NA
Ellochelon vaigiensis,5656,0,5,32,N,24,S,30,E,141,W,NA,NA
Elops affinis,2601,0,10,36,N,19,S,122,W,70,W,NA,NA
Elops hawaiensis,6415,1,30,41,N,40,S,92,E,138,W,NA,NA
Elops machnata,5512,NA,NA,38,N,37,S,22,E,153,W,NA,NA
Elops saurus,175,0,50,29,N,17,S,NA,NA,NA,NA,11.3,34.1
Elops smithi,65327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Embiotoca jacksoni,3628,0,46,40,N,23,n,124,w,114,w,NA,NA
Embiotoca lateralis,3629,NA,21,58,n,29,n,138,w,115,w,NA,NA
Emblemaria diphyodontis,27913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemaria hyltoni,47266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemaria hypacanthus,46774,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemaria nivipes,46776,5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemaria pandionis,3718,1,12,32,N,4,N,100,W,59,W,NA,NA
Emblemaria piratica,46778,5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemaria vitta,60577,26,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemariopsis bahamensis,3716,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemariopsis bottomei,54727,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemariopsis carib,65877,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemariopsis diaphana,3717,NA,20,26,N,10,N,99,W,59,W,NA,NA
Emblemariopsis leptocirris,47269,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemariopsis occidentalis,16491,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemariopsis pricei,57925,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemariopsis randalli,27952,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemariopsis ruetzleri,60579,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemariopsis signifer,48175,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emblemariopsis tayrona,57458,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emmelichthyops atlanticus,3571,3,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emmelichthys karnellai,51668,128,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emmelichthys nitidus,395,86,500,16,S,43,S,13,w,167,W,NA,NA
Emmelichthys struhsakeri,8213,180,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Encheliophis boraborensis,16829,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Encheliophis gracilis,9204,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Encheliophis vermicularis,10226,0,1,30,N,28,S,NA,NA,NA,NA,NA,NA
Encheliophis vermiops,27861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchelycore anatina,8087,3,60,40,N,17,S,32,W,35,E,NA,NA
Enchelycore bayeri,6488,0,64,18,N,24,S,51,E,148,W,NA,NA
Enchelycore carychroa,2610,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchelycore kamara,56835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchelycore lichenosa,10136,5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchelycore nigricans,1098,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchelycore pardalis,7451,5,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchelycore ramosa,23012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchelycore schismatorhynchus,6490,5,35,30,N,18,S,NA,NA,NA,NA,NA,NA
Enchelynassa canina,6491,1,30,25,N,24,S,NA,NA,NA,NA,NA,NA
Enchelyopus cimbrius,1874,20,650,73,N,20,N,99,W,32,E,NA,NA
Enchelyurus ater,13753,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchelyurus flavipes,59604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchelyurus kraussii,6062,0,15,30,N,24,S,NA,NA,NA,NA,NA,NA
Encrasicholina devisi,555,NA,NA,32,N,28,S,43,E,173,W,NA,NA
Encrasicholina heteroloba,556,20,50,32,N,26,S,30,E,170,W,NA,NA
Encrasicholina punctifer,558,5,35,42,N,35,S,30,E,140,E,NA,NA
Encrasicholina purpurea,559,0,50,25,N,14,N,165,W,143,W,NA,NA
Engraulis eurystole,1662,124,282,45,N,0,NA,91,W,46,W,NA,NA
Engraulis japonicus,1663,0,400,49,N,2,N,105,E,155,E,8,30
Engraulis mordax,1664,0,310,51,N,21,N,131,W,108,W,NA,NA
Engraulis ringens,4,3,80,5,S,43,S,82,W,69,W,13,23
Engyophrys sanctilaurentii,13558,46,232,33,N,7,S,117,W,77,W,NA,NA
Engyophrys senta,4220,35,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engyprosopon grandisquama,1324,7,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engyprosopon hureaui,15567,1,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engyprosopon latifrons,15569,37,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engyprosopon longipelvis,24222,30,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engyprosopon macrolepis,5344,3,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engyprosopon maldivense,13970,30,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engyprosopon multisquama,24221,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engyprosopon xenandrus,59555,79,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engyprosopon xystrias,15580,30,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enigmapercis acutirostris,59411,NA,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneanectes altivelis,3720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneanectes boehlkei,3721,NA,NA,NA,NA,9,N,NA,NA,NA,NA,NA,NA
Enneanectes carminalis,46539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
