Species,SpecCode,TempMin,TempMax
Cynoglossus browni,8093,NA,NA
Cynoglossus cadenati,8860,NA,NA
Cynoglossus canariensis,4948,NA,NA
Cynoglossus capensis,8906,NA,NA
Cynoglossus carpenteri,10205,NA,NA
Cynoglossus crepida,68187,NA,NA
Cynoglossus cynoglossus,5456,NA,NA
Cynoglossus dispar,9244,NA,NA
Cynoglossus dollfusi,9250,NA,NA
Cynoglossus dubius,9242,NA,NA
Cynoglossus durbanensis,7680,NA,NA
Cynoglossus gilchristi,7681,NA,NA
Cynoglossus gracilis,17174,NA,NA
Cynoglossus interruptus,8956,NA,NA
Cynoglossus itinus,9245,NA,NA
Cynoglossus joyneri,8958,NA,NA
Cynoglossus kopsii,7647,NA,NA
Cynoglossus lachneri,7682,NA,NA
Cynoglossus lida,5489,NA,NA
Cynoglossus lighti,59531,NA,NA
Cynoglossus lineolatus,59538,NA,NA
Cynoglossus lingua,8238,NA,NA
Cynoglossus maccullochi,61501,NA,NA
Cynoglossus macrolepidotus,59539,NA,NA
Cynoglossus macrophthalmus,11680,NA,NA
Cynoglossus macrostomus,6083,NA,NA
Cynoglossus maculipinnis,9247,NA,NA
Cynoglossus marleyi,7683,NA,NA
Cynoglossus monodi,4950,NA,NA
Cynoglossus monopus,7652,NA,NA
Cynoglossus nanhaiensis,69268,NA,NA
Cynoglossus nigropinnatus,59532,NA,NA
Cynoglossus ochiaii,63758,NA,NA
Cynoglossus ogilbyi,9246,NA,NA
Cynoglossus oligolepis,56095,NA,NA
Cynoglossus pottii,56480,NA,NA
Cynoglossus puncticeps,4807,NA,NA
Cynoglossus purpureomaculatus,59533,NA,NA
Cynoglossus quadriocellatus,69662,NA,NA
Cynoglossus robustus,13073,NA,NA
Cynoglossus roulei,59534,NA,NA
Cynoglossus sealarki,17158,NA,NA
Cynoglossus semifasciatus,17161,NA,NA
Cynoglossus semilaevis,17172,NA,NA
Cynoglossus senegalensis,4951,NA,NA
Cynoglossus sibogae,59556,NA,NA
Cynoglossus sinusarabici,16281,NA,NA
Cynoglossus suyeni,7656,NA,NA
Cynoglossus trulla,9243,NA,NA
Cynoglossus westraliensis,69668,NA,NA
Cynoglossus yokomaru,69679,NA,NA
Cynoglossus zanzibarensis,7684,NA,NA
Cynomacrurus piriei,7136,NA,NA
Cynoponticus coniceps,13777,NA,NA
Cynoponticus ferox,4952,NA,NA
Cynoponticus savanna,1096,NA,NA
Cynoscion acoupa,1169,NA,NA
Cynoscion albus,14024,NA,NA
Cynoscion analis,403,NA,NA
Cynoscion arenarius,1170,NA,NA
Cynoscion guatucupa,52918,NA,NA
Cynoscion jamaicensis,1171,NA,NA
Cynoscion leiarchus,1173,NA,NA
Cynoscion microlepidotus,1174,NA,NA
Cynoscion nannus,14027,NA,NA
Cynoscion nebulosus,405,NA,NA
Cynoscion nortoni,59829,NA,NA
Cynoscion nothus,1175,NA,NA
Cynoscion othonopterus,14026,NA,NA
Cynoscion parvipinnis,3581,NA,NA
Cynoscion phoxocephalus,11001,NA,NA
Cynoscion praedatorius,14028,NA,NA
Cynoscion regalis,406,17,26.5
Cynoscion reticulatus,14030,NA,NA
Cynoscion similis,1176,NA,NA
Cynoscion squamipinnis,14110,NA,NA
Cynoscion steindachneri,1177,NA,NA
Cynoscion stolzmanni,11002,NA,NA
Cynoscion striatus,407,NA,NA
Cynoscion virescens,1178,NA,NA
Cynoscion xanthulus,3582,NA,NA
Cyprinocirrhites polyactis,7764,NA,NA
Cyprinodon artifrons,57257,NA,NA
Cyprinodon variegatus,3181,NA,NA
Cypselurus angusticeps,13690,NA,NA
Cypselurus callopterus,13691,NA,NA
Cypselurus comatus,1025,NA,NA
Cypselurus hexazona,15362,NA,NA
Cypselurus hiraii,12986,NA,NA
Cypselurus longibarbus,67225,NA,NA
Cypselurus naresii,7726,NA,NA
Cypselurus oligolepis,15365,NA,NA
Cypselurus opisthopus,5159,NA,NA
Cypselurus poecilopterus,5122,NA,NA
Cypselurus simus,12966,NA,NA
Cypselurus starksi,23043,NA,NA
Cyttomimus affinis,23361,NA,NA
Cyttomimus stelgis,55130,NA,NA
Cyttopsis cypho,10334,NA,NA
Cyttopsis rosea,4953,NA,NA
Cyttus australis,14136,NA,NA
Cyttus novaezealandiae,14575,NA,NA
Cyttus traversi,10676,NA,NA
Dacodraco hunteri,7112,NA,NA
Dactylagnus mundus,51434,NA,NA
Dactylagnus parvus,58231,NA,NA
Dactylagnus peratikos,50491,NA,NA
Dactylanthias aplodactylus,61253,NA,NA
Dactylanthias baccheti,63996,NA,NA
Dactylobatus armatus,51857,NA,NA
Dactylobatus clarkii,7608,NA,NA
Dactylophora nigricans,14414,NA,NA
Dactylopsaron dimorphicum,59412,NA,NA
Dactyloptena gilberti,24054,NA,NA
Dactyloptena macracantha,8239,NA,NA
Dactyloptena orientalis,4485,NA,NA
Dactyloptena papilio,10790,NA,NA
Dactyloptena peterseni,7691,NA,NA
Dactyloptena tiltoni,50799,NA,NA
Dactylopterus volitans,1021,NA,NA
Dactylopus dactylopus,8240,NA,NA
Dactylopus kuiteri,60086,NA,NA
Dactyloscopus amnis,60681,NA,NA
Dactyloscopus boehlkei,50438,NA,NA
Dactyloscopus byersorum,58232,NA,NA
Dactyloscopus comptus,50471,NA,NA
Dactyloscopus crossotus,3698,NA,NA
Dactyloscopus elongatus,66062,NA,NA
Dactyloscopus fallax,66063,NA,NA
Dactyloscopus fimbriatus,60685,NA,NA
Dactyloscopus foraminosus,50467,NA,NA
Dactyloscopus heraldi,66061,NA,NA
Dactyloscopus insulatus,66065,NA,NA
Dactyloscopus lacteus,56670,NA,NA
Dactyloscopus lunaticus,58233,NA,NA
Dactyloscopus metoecus,60683,NA,NA
Dactyloscopus minutus,60677,NA,NA
Diagramma pictum,4465,NA,NA
Diagramma punctatum,10346,NA,NA
Dialommus fuscus,13099,NA,NA
Dialommus macrocephalus,46683,NA,NA
Diancistrus alatus,63162,NA,NA
Diancistrus alleni,63168,NA,NA
Diancistrus altidorsalis,63169,NA,NA
Diancistrus atollorum,63170,NA,NA
Diancistrus beateae,63171,NA,NA
Diancistrus brevirostris,63193,NA,NA
Diancistrus eremitus,63194,NA,NA
Diancistrus erythraeus,23243,NA,NA
Diancistrus fijiensis,63195,NA,NA
Diancistrus fuscus,23244,NA,NA
Diancistrus jackrandalli,63201,NA,NA
Diancistrus jeffjohnsoni,63205,NA,NA
Diancistrus karinae,63206,NA,NA
Diancistrus katrineae,63208,NA,NA
Diancistrus leisi,63209,NA,NA
Diancistrus longifilis,24961,NA,NA
Diancistrus machidai,63219,NA,NA
Dactyloscopus moorei,12440,NA,NA
Dactyloscopus pectoralis,46622,NA,NA
Dactyloscopus poeyi,16448,NA,NA
Dactyloscopus tridigitatus,3699,NA,NA
Dactyloscopus zelotes,60684,NA,NA
Dactylosurculus gomoni,64475,NA,NA
Dadyanos insignis,47987,NA,NA
Daector dowi,13544,NA,NA
Daector reticulata,6392,NA,NA
Daector schmitti,13546,NA,NA
Dagetichthys lusitanicus,8854,NA,NA
Dagetichthys marginatus,7929,NA,NA
Dajaus monticola,1085,20,31
Dalatias licha,669,NA,NA
Dalophis boulengeri,5031,23,28
Dalophis cephalopeltis,5032,NA,NA
Dalophis imberbis,1789,NA,NA
Dalophis multidentatus,9082,NA,NA
Dalophis obtusirostris,9083,NA,NA
Dampierosa daruma,52311,NA,NA
Danacetichthys galathenus,15199,NA,NA
Danaphos asteroscopus,70489,NA,NA
Danaphos oculatus,7388,NA,NA
Danaphryne nigrifilis,16901,NA,NA
Dannevigia tusca,14055,NA,NA
Daruma sagamia,23919,NA,NA
Dascyllus abudafur,68973,NA,NA
Dascyllus albisella,7816,NA,NA
Dascyllus aruanus,5110,NA,NA
Dascyllus auripinnis,59464,NA,NA
Dascyllus carneus,7798,NA,NA
Dascyllus flavicaudus,11972,NA,NA
Dascyllus marginatus,11985,NA,NA
Dascyllus melanurus,5111,NA,NA
Dascyllus reticulatus,5113,NA,NA
Dascyllus strasburgi,9254,NA,NA
Dascyllus trimaculatus,5112,NA,NA
Dasyatis brevis,7381,NA,NA
Dasyatis chrysonota,25629,NA,NA
Dasyatis gigantea,22789,NA,NA
Dasyatis hastata,60852,NA,NA
Dasyatis hypostigma,63407,NA,NA
Dasyatis marmorata,8964,NA,NA
Dasyatis multispinosa,57395,NA,NA
Dasyatis pastinaca,2060,NA,NA
Dasyatis tortonesei,9334,NA,NA
Dasycottus setiger,4085,NA,NA
Dasyscopelus asper,4488,NA,NA
Dasyscopelus obtusirostris,7416,NA,NA
Dasyscopelus selenops,7425,NA,NA
Dasyscopelus spinosus,4491,NA,NA
Davidijordania brachyrhynchus,23815,NA,NA
Davidijordania jordaniana,47875,NA,NA
Davidijordania lacertina,23816,NA,NA
Davidijordania poecilimon,23814,NA,NA
Davidijordania yabei,63769,NA,NA
Dayella malabarica,1560,NA,NA
Daysciaena albida,12049,NA,NA
Deania calceus,670,NA,NA
Deania hystricosa,671,NA,NA
Deania profundorum,672,NA,NA
Deania quadrispinosa,673,NA,NA
Decapterus akaadsi,23465,NA,NA
Decapterus koheru,1902,NA,NA
Decapterus kurroides,1940,NA,NA
Decapterus macarellus,993,NA,NA
Decapterus macrosoma,1938,NA,NA
Decapterus maruadsi,1939,NA,NA
Decapterus muroadsi,12302,NA,NA
Decapterus punctatus,994,NA,NA
Decapterus russelli,374,NA,NA
Decapterus smithvanizi,69454,NA,NA
Decapterus tabl,995,NA,NA
Deckertichthys aureolus,13696,NA,NA
Decodon grandisquamis,16902,NA,NA
Decodon melasma,13835,NA,NA
Decodon pacificus,23521,NA,NA
Decodon puellaris,3657,NA,NA
Dellichthys morelandi,46309,NA,NA
Deltentosteus collonianus,56195,NA,NA
Deltentosteus quadrimaculatus,16282,NA,NA
Demissolinea novaeguineensis,61510,NA,NA
Dendrochirus barberi,7781,NA,NA
Dendrochirus bellus,8241,NA,NA
Dendrochirus biocellatus,5827,NA,NA
Dendrochirus brachypterus,4912,NA,NA
Dendrochirus hemprichi,68567,NA,NA
Dendrochirus koyo,69528,NA,NA
Dendrochirus tuamotuensis,68417,NA,NA
Dendrochirus zebra,5828,NA,NA
Dendrophysa russelii,4560,NA,NA
Dentatherina merceri,7186,NA,NA
Dentex abei,64598,NA,NA
Dentex angolensis,440,NA,NA
Dentex barnardi,8061,NA,NA
Dentex canariensis,4539,NA,NA
Dentex carpenteri,68715,NA,NA
Dentex congoensis,4641,NA,NA
Dentex dentex,439,NA,NA
Dentex fourmanoiri,60906,NA,NA
Dentex gibbosus,4536,NA,NA
Dentex hypselosomus,67288,NA,NA
Dentex macrophthalmus,438,NA,NA
Dentex maroccanus,4538,NA,NA
Dentex spariformis,56323,NA,NA
Dentiraja australis,15413,NA,NA
Dentiraja cerva,24076,NA,NA
Dentiraja confusa,63963,NA,NA
Dentiraja falloargus,63965,NA,NA
Dentiraja flindersi,63970,NA,NA
Dentiraja healdi,63932,NA,NA
Dentiraja lemprieri,24081,NA,NA
Dentiraja oculus,63967,NA,NA
Dentiraja polyommata,15419,NA,NA
Derepodichthys alepidotus,16606,NA,NA
Derichthys serpentinus,7445,NA,NA
Derilissus altifrons,54594,NA,NA
Derilissus kremnobates,60709,NA,NA
Derilissus lombardii,67404,NA,NA
Derilissus nanus,55715,NA,NA
Derilissus vittiger,60710,NA,NA
Dermatias platynogaster,65990,NA,NA
Dermatolepis dermatolepis,9185,NA,NA
Dermatolepis inermis,3322,NA,NA
Dermatolepis striolata,6458,NA,NA
Dermatopsis greenfieldi,63234,NA,NA
Dermatopsis hoesei,63235,NA,NA
Dermatopsis joergennielseni,63236,NA,NA
Dermatopsis macrodon,24957,NA,NA
Dermatopsis multiradiatus,24960,NA,NA
Dermatopsoides andersoni,63255,NA,NA
Dermatopsoides kasougae,16797,NA,NA
Dermatopsoides morrisonae,63256,NA,NA
Dermatopsoides talboti,10249,NA,NA
Dermogenys pusilla,11298,24,28
Desmodema lorum,3262,NA,NA
Desmodema polystictum,3263,NA,NA
Deveximentum hanedai,24805,NA,NA
Deveximentum indicium,7966,NA,NA
Deveximentum insidiator,4455,26,29
Deveximentum interruptum,25205,NA,NA
Deveximentum mazavasaoka,66256,NA,NA
Deveximentum megalolepis,24806,NA,NA
Deveximentum ruconius,4811,26,29
Dexillus muelleri,6617,NA,NA
Dexistes rikuzenius,8841,NA,NA
Diademichthys lineatus,12891,NA,NA
Diagramma labiosum,56923,NA,NA
Diagramma melanacrum,60078,NA,NA
Diancistrus manciporus,63220,NA,NA
Diancistrus mcgroutheri,63210,NA,NA
Diancistrus mennei,63221,NA,NA
Diancistrus niger,63222,NA,NA
Diancistrus novaeguineae,56404,NA,NA
Diancistrus pohnpeiensis,63224,NA,NA
Diancistrus robustus,63225,NA,NA
Diancistrus springeri,63226,NA,NA
Diancistrus tongaensis,63227,NA,NA
Diancistrus vietnamensis,63230,NA,NA
Diaphenchelys dalmatian,69263,NA,NA
Dischistodus chrysopoecilus,6553,NA,NA
Dischistodus darwiniensis,25219,NA,NA
Dischistodus fasciatus,9982,NA,NA
Dischistodus melanotus,5703,NA,NA
Dischistodus perspicillatus,5704,NA,NA
Dischistodus prosopotaenia,6608,NA,NA
Dysomma alticorpus,69203,NA,NA
Dysomma anguillare,2659,NA,NA
Dysomma brachygnathos,70391,NA,NA
Dysomma brevirostre,9101,NA,NA
Dysomma bucephalus,58294,NA,NA
Dysomma dolichosomatum,58295,NA,NA
Dysomma formosa,70392,NA,NA
Dysomma fuscoventralis,15591,NA,NA
Dysomma goslinei,58293,NA,NA
Dysomma longirostrum,58291,NA,NA
Dysomma melanurum,58296,NA,NA
Dysomma muciparus,58297,NA,NA
Dysomma opisthoproctus,54317,NA,NA
Dysomma polycatodon,58298,NA,NA
Dysomma robinsorum,70390,NA,NA
Dysomma taiwanense,68260,NA,NA
Dysomma tridens,58299,NA,NA
Dysommina proboscideus,61181,NA,NA
Dysommina rugosa,27787,NA,NA
Ebinania australiae,64589,NA,NA
Ebinania brephocephala,23983,NA,NA
Ebinania costaecanariae,10182,NA,NA
Ebinania gyrinoides,58785,NA,NA
Ebinania macquariensis,60331,NA,NA
Ebinania malacocephala,60332,NA,NA
Ebinania vermiculata,23984,NA,NA
Ebosia bleekeri,10384,NA,NA
Ebosia falcata,59328,NA,NA
Ebosia saya,69333,NA,NA
Ebosia vespertina,68381,NA,NA
Echelus myrus,1713,NA,NA
Echelus pachyrhynchus,9084,NA,NA
Echelus polyspondylus,68629,NA,NA
Echelus uropterus,17407,NA,NA
Diaphenchelys pelonates,63905,NA,NA
Diaphus adenomus,7432,NA,NA
Diaphus agassizii,70490,NA,NA
Diaphus aliciae,16729,NA,NA
Diaphus anderseni,7433,NA,NA
Diaphus antonbruuni,16730,NA,NA
Diaphus arabicus,60936,NA,NA
Diaphus basileusi,59940,NA,NA
Diaphus bertelseni,11880,NA,NA
Diaphus brachycephalus,7434,NA,NA
Diaphus burtoni,59758,NA,NA
Diaphus chrysorhynchus,7435,NA,NA
Diaphus coeruleus,10329,NA,NA
Diaphus confusus,60920,NA,NA
Diaphus dahlgreni,59136,NA,NA
Diaphus danae,24665,NA,NA
Diaphus dehaveni,59137,NA,NA
Diaphus diadematus,16650,NA,NA
Diaphus diademophilus,59150,NA,NA
Diaphus drachmanni,24676,NA,NA
Diaphus dumerilii,6590,NA,NA
Diaphus effulgens,10264,NA,NA
Diaphus ehrhorni,59138,NA,NA
Diaphus faustinoi,59139,NA,NA
Diaphus fragilis,7437,NA,NA
Diaphus fulgens,16732,NA,NA
Diaphus garmani,10265,NA,NA
Diaphus gigas,27477,NA,NA
Diaphus handi,59140,NA,NA
Diaphus holti,1711,NA,NA
Diaphus hudsoni,6982,NA,NA
Diaphus impostor,59144,NA,NA
Diaphus jenseni,16735,NA,NA
Diaphus kapalae,60922,NA,NA
Diaphus knappi,16736,NA,NA
Diaphus kora,60923,NA,NA
Diaphus kuroshio,23009,NA,NA
Diaphus lobatus,60935,NA,NA
Diaphus lucidus,10266,NA,NA
Diaphus lucifrons,59759,NA,NA
Diaphus luetkeni,16651,NA,NA
Diaphus malayanus,16748,NA,NA
Diaphus mascarensis,59699,NA,NA
Diaphus meadi,16654,NA,NA
Diaphus megalops,59147,NA,NA
Diaphus metopoclampus,7438,NA,NA
Diaphus minax,47619,NA,NA
Diaphus mollis,12413,NA,NA
Diaphus nielseni,16749,NA,NA
Diaphus ostenfeldi,6983,NA,NA
Diaphus pacificus,46966,NA,NA
Diaphus pallidus,60934,NA,NA
Diaphus parini,60921,NA,NA
Diaphus parri,16752,NA,NA
Diaphus perspicillatus,7436,NA,NA
Diaphus phillipsi,7439,NA,NA
Diaphus problematicus,16656,NA,NA
Diaphus rafinesquii,1712,NA,NA
Diaphus regani,23011,NA,NA
Diaphus richardsoni,16753,NA,NA
Diaphus rivatoni,63187,NA,NA
Diaphus roei,60933,NA,NA
Diaphus sagamiensis,61403,NA,NA
Diaphus schmidti,7408,NA,NA
Diaphus signatus,10267,NA,NA
Diaphus similis,54407,NA,NA
Diaphus splendidus,10174,NA,NA
Diaphus suborbitalis,10420,NA,NA
Diaphus subtilis,9030,NA,NA
Diaphus taaningi,10175,NA,NA
Diaphus termophilus,7440,NA,NA
Diaphus theta,2732,NA,NA
Diaphus thiollierei,16754,NA,NA
Diaphus trachops,60292,NA,NA
Diaphus umbroculus,59141,NA,NA
Diaphus vanhoeffeni,16659,NA,NA
Diaphus watasei,10268,NA,NA
Diaphus whitleyi,59142,NA,NA
Diaphus wisneri,59143,NA,NA
Diapterus auratus,3563,NA,NA
Diapterus brevirostris,64004,NA,NA
Diapterus peruvianus,10430,NA,NA
Diapterus rhombeus,1048,NA,NA
Diastobranchus capensis,6957,3,4
Dibrachichthys melanurus,65403,NA,NA
Dibranchus accinctus,58639,NA,NA
Dibranchus atlanticus,4956,NA,NA
Dibranchus cracens,58632,NA,NA
Dibranchus discors,58638,NA,NA
Dibranchus erinaceus,58636,NA,NA
Dibranchus hystrix,58630,NA,NA
Dibranchus japonicus,23252,NA,NA
Dibranchus nasutus,61055,NA,NA
Dibranchus nudivomer,58637,NA,NA
Dibranchus sparsus,58634,NA,NA
Dibranchus spinosus,58635,NA,NA
Dibranchus spongiosa,58631,NA,NA
Dibranchus tremendus,58629,NA,NA
Dibranchus velutinus,58633,NA,NA
Dicentrarchus labrax,63,8,24
Dicentrarchus punctatus,394,NA,NA
Diceratias bispinosus,27426,NA,NA
Diceratias pileatus,10180,NA,NA
Diceratias trilobus,60686,NA,NA
Dichichthys albimarginatus,63653,NA,NA
Dichichthys bigus,63657,NA,NA
Dichichthys melanobranchus,831,NA,NA
Dichistius capensis,5997,NA,NA
Dichistius multifasciatus,5511,NA,NA
Dicologlossa cuneata,526,NA,NA
Dicologlossa hexophthalma,4957,NA,NA
Dicotylichthys punctulatus,14489,NA,NA
Dicrolene filamentosa,56340,NA,NA
Dicrolene gregoryi,56341,NA,NA
Dicrolene hubrechti,56342,NA,NA
Dicrolene introniger,8091,NA,NA
Dicrolene kanazawai,54897,NA,NA
Dicrolene longimana,54124,NA,NA
Dicrolene mesogramma,56343,NA,NA
Dicrolene multifilis,7888,NA,NA
Dicrolene nigra,55191,NA,NA
Dicrolene nigricaudis,56344,NA,NA
Dicrolene pallidus,8954,NA,NA
Dicrolene pullata,56345,NA,NA
Dicrolene quinquarius,23231,NA,NA
Dicrolene tristis,23232,NA,NA
Dicrolene vaillanti,56346,NA,NA
Dictyosoma burgeri,23793,NA,NA
Dictyosoma rubrimaculatum,23794,NA,NA
Dictyosoma tongyeongensis,67002,NA,NA
Didogobius bentuvii,51743,NA,NA
Didogobius kochi,22739,NA,NA
Didogobius schlieweni,51744,NA,NA
Didymothallus criniceps,64476,NA,NA
Didymothallus mizolepis,24965,NA,NA
Didymothallus nudigena,66399,NA,NA
Didymothallus pruvosti,64477,NA,NA
Dieidolycus adocetus,58975,NA,NA
Dieidolycus gosztonyii,58988,NA,NA
Dieidolycus leptodermatus,7014,NA,NA
Dinematichthys iluocoeteoides,7300,NA,NA
Dinematichthys trilobatus,64966,NA,NA
Dinolestes lewini,4332,NA,NA
Dinoperca petersi,5522,NA,NA
Diodon eydouxii,14490,NA,NA
Diodon holocanthus,4659,NA,NA
Diodon hystrix,1022,NA,NA
Diodon liturosus,6552,NA,NA
Diodon nicthemerus,12864,NA,NA
Diogenichthys atlanticus,7409,NA,NA
Diogenichthys laternatus,2733,NA,NA
Diogenichthys panurgus,16757,NA,NA
Diplacanthopoma alcockii,56421,NA,NA
Diplacanthopoma brachysoma,56422,NA,NA
Diplacanthopoma brunneum,56423,NA,NA
Diplacanthopoma japonicum,23241,NA,NA
Diplacanthopoma jordani,54870,NA,NA
Diplacanthopoma kreffti,60534,NA,NA
Diplacanthopoma nigripinnis,16798,NA,NA
Diplacanthopoma raniceps,56424,NA,NA
Diplacanthopoma riversandersoni,56425,NA,NA
Diplecogaster bimaculata,64,NA,NA
Diplecogaster ctenocrypta,16740,NA,NA
Diplecogaster euxinica,67915,NA,NA
Diplecogaster megalops,16844,NA,NA
Diplecogaster pectoralis,16738,NA,NA
Diplecogaster tonstricula,67913,NA,NA
Diplecogaster umutturali,69213,NA,NA
Diplectrum bivittatum,3318,NA,NA
Diplectrum conceptione,50016,NA,NA
Diplectrum eumelum,14230,NA,NA
Diplectrum euryplectrum,14231,NA,NA
Diplectrum formosum,1203,NA,NA
Diplectrum labarum,14232,NA,NA
Diplectrum macropoma,14244,NA,NA
Diplectrum maximum,14233,NA,NA
Diplectrum pacificum,14248,NA,NA
Diplectrum radiale,7330,20,25
Diplectrum rostrum,14234,NA,NA
Diplectrum sciurus,14250,NA,NA
Diplobatis colombiensis,53912,NA,NA
Diplobatis guamachensis,53913,NA,NA
Diplobatis ommata,8723,NA,NA
Diplobatis picta,27776,NA,NA
Diploconger polystigmatus,10728,NA,NA
Diplocrepis puniceus,46298,NA,NA
Diplodus annularis,1752,NA,NA
Diplodus argenteus,3574,NA,NA
Diplodus ascensionis,8065,NA,NA
Diplodus bellottii,8062,NA,NA
Diplodus bermudensis,8106,NA,NA
Diplodus cadenati,8066,NA,NA
Diplodus capensis,6004,NA,NA
Diplodus caudimacula,1230,NA,NA
Diplodus cervinus,2497,NA,NA
Diplodus fasciatus,8063,NA,NA
Diplodus helenae,8069,NA,NA
Diplodus holbrookii,1231,NA,NA
Diplodus hottentotus,7932,NA,NA
Diplodus kotschyi,8113,NA,NA
Diplodus levantinus,68249,NA,NA
Diplodus lineatus,8070,NA,NA
Diplodus noct,8112,NA,NA
Diplodus omanensis,46378,NA,NA
Diplodus prayensis,8064,NA,NA
Diplodus puntazzo,1749,NA,NA
Diplodus sargus,1753,NA,NA
Diplodus striatus,68250,NA,NA
Diplodus vulgaris,1754,NA,25
Diplogrammus goramensis,13764,NA,NA
Diplogrammus gruveli,56508,NA,NA
Diplogrammus infulatus,17029,NA,NA
Diplogrammus pauciradiatus,3825,NA,NA
Diplogrammus paucispinis,68612,NA,NA
Diplogrammus pygmaeus,46388,NA,NA
Diplogrammus randalli,49452,24,28
Diplogrammus xenicus,25837,NA,NA
Diplophos australis,54857,NA,NA
Diplophos orientalis,22713,NA,NA
Diplophos pacificus,59112,NA,NA
Diplophos rebainsi,16709,NA,NA
Diplophos taenia,10155,NA,NA
Diplophos vicinia,69124,NA,NA
Diploprion bifasciatum,6603,NA,NA
Diploprion drachi,24437,NA,NA
Diplospinus multistriatus,8460,NA,NA
Diproctacanthus xanthurus,5108,24,28
Dipterygonotus balteatus,928,NA,NA
Dipturus acrobelus,63930,NA,NA
Dipturus amphispinus,67530,NA,NA
Dipturus apricus,63931,NA,NA
Dipturus argentinensis,64715,5.9,9.38
Dipturus batis,2058,NA,NA
Dipturus bullisi,7604,NA,NA
Dipturus campbelli,25569,NA,NA
Dipturus canutus,63962,NA,NA
Dipturus chinensis,63316,NA,NA
Dipturus crosnieri,54103,NA,NA
Dipturus diehli,61090,NA,NA
Dipturus doutrei,5012,NA,NA
Dipturus ecuadoriensis,54442,NA,NA
Dipturus flavirostris,54601,NA,NA
Dipturus garricki,51859,NA,NA
Dipturus gigas,15414,NA,NA
Dipturus grahamorum,63966,NA,NA
Dipturus gudgeri,24079,NA,NA
Dipturus innominatus,13145,NA,NA
Dipturus intermedius,68885,NA,NA
Dipturus johannisdavisi,47130,NA,NA
Dipturus kwangtungensis,54036,NA,NA
Dipturus laevis,2561,0,20
Dipturus lamillai,69294,NA,NA
Dipturus lanceorostratus,7961,NA,NA
Dipturus leptocauda,54117,NA,NA
Dipturus macrocauda,22551,NA,NA
Dipturus melanospilus,63934,NA,NA
Dipturus mennii,59787,NA,NA
Dipturus nidarosiensis,8900,NA,NA
Dipturus olseni,2563,NA,NA
Dipturus oregoni,51860,NA,NA
Dipturus oxyrinchus,7616,NA,NA
Dipturus pullopunctatus,7960,NA,NA
Dipturus queenslandicus,63935,NA,NA
Dipturus springeri,7962,NA,NA
Dipturus stenorhynchus,7963,NA,NA
Dipturus teevani,7607,NA,NA
Dipturus tengu,15415,NA,NA
Dipturus trachyderma,50858,NA,NA
Dipturus wengi,63969,NA,NA
Dipturus wuhanlingi,63867,NA,NA
Dipulus caecus,24964,NA,NA
Dipulus hutchinsi,63251,NA,NA
Dipulus norfolkanus,56406,NA,NA
Diretmichthys parini,9057,NA,NA
Diretmoides pauciradiatus,9056,NA,NA
Diretmoides veriginae,15708,NA,NA
Diretmus argenteus,4958,NA,NA
Dischistodus pseudochrysopoecilus,8242,NA,NA
Discopyge castelloi,64984,NA,NA
Discopyge tschudii,8396,NA,NA
Discordipinna filamentosa,67394,NA,NA
Discordipinna griessingeri,7212,23,27
Discotrema crinophilum,7494,NA,NA
Discotrema monogrammum,63700,NA,NA
Discotrema zonatum,63911,NA,NA
Dissostichus eleginoides,467,NA,NA
Dissostichus mawsoni,7039,NA,NA
Ditrema jordani,64734,NA,NA
Ditrema temminckii,13038,NA,NA
Ditrema viride,23494,NA,NA
Ditropichthys storeri,9042,NA,NA
Doboatherina aetholepis,59891,NA,NA
Doboatherina balabacensis,69052,NA,NA
Doboatherina duodecimalis,1302,NA,NA
Dodekablennos fraseri,59603,NA,NA
Doederleinia berycoides,4599,NA,NA
Dolicholagus longirostris,9168,NA,NA
Dolichopteroides binocularis,9120,NA,NA
Dolichopteryx anascopa,51693,NA,NA
Dolichopteryx andriashevi,65556,NA,NA
Dolichopteryx longipes,9121,NA,NA
Dolichopteryx minuscula,63387,NA,NA
Dolichopteryx parini,60994,NA,NA
Dolichopteryx pseudolongipes,64629,NA,NA
Dolichopteryx rostrata,63388,NA,NA
Dolichopteryx trunovi,63390,NA,NA
Dolichopteryx vityazi,65557,NA,NA
Dolichosudis fuliginosa,10168,NA,NA
Dolloidraco longedorsalis,7069,NA,NA
Dolopichthys allector,57269,NA,NA
Dolopichthys danae,16904,NA,NA
Dolopichthys dinema,16907,NA,NA
Dolopichthys jubatus,16909,NA,NA
Dolopichthys karsteni,61000,NA,NA
Dolopichthys longicornis,16912,NA,NA
Dolopichthys pullatus,16921,NA,NA
Doratonotus megalepis,3658,NA,NA
Dormitator latifrons,3826,25,33
Dormitator lebretonis,10008,NA,NA
Dormitator maculatus,3827,17,35
Dorosoma cepedianum,1604,NA,31.5
Dorosoma petenense,1606,20,30
Doryrhamphus abbreviatus,7718,NA,NA
Doryrhamphus aurolineatus,26967,NA,NA
Doryrhamphus bicarinatus,16864,NA,NA
Doryrhamphus excisus,5969,NA,NA
Doryrhamphus janssi,5970,NA,NA
Doryrhamphus japonicus,23083,NA,NA
Doryrhamphus malus,7719,NA,NA
Doryrhamphus negrosensis,5971,NA,NA
Doryrhamphus paulus,46120,NA,NA
Dotalabrus alleni,46818,NA,NA
