Species,SpecCode,TempMin,TempMax
Acanthostracion polygonium,4287,NA,NA
Acanthostracion quadricornis,92,NA,NA
Acanthurus achilles,4306,NA,NA
Acanthurus albimento,68166,NA,NA
Acanthurus albipectoralis,13770,NA,NA
Acanthurus auranticavus,4748,NA,NA
Acanthurus bahianus,68792,NA,NA
Acanthurus bariene,4307,23,29
Acanthurus blochii,4750,NA,NA
Acanthurus chirurgus,943,22,25
Acanthurus chronixis,6010,NA,NA
Acanthurus coeruleus,944,NA,NA
Acanthurus dussumieri,1256,24,28
Acanthurus fowleri,4745,24,28
Acanthurus gahhm,17471,22,28
Acanthurus grammoptilus,4749,NA,NA
Acanthurus guttatus,4736,NA,NA
Acanthurus japonicus,23375,24,28
Acanthurus leucocheilus,4741,23,27
Acanthurus leucopareius,4737,24,28
Acanthurus leucosternon,1257,23,28
Acanthurus lineatus,1258,24,30
Acanthurus maculiceps,4746,24,28
Acanthurus mata,1255,23,28
Acanthurus monroviae,1800,20,25
Acanthurus nigricans,6011,21,29
Acanthurus nigricauda,4747,23,28
Acanthurus nigrofuscus,4739,24,28
Acanthurus nigroris,4738,NA,NA
Acanthurus nubilus,4733,24,28
Acanthurus olivaceus,4744,24,28
Acanthurus polyzona,4732,NA,NA
Acanthurus pyroferus,4742,NA,NA
Acanthurus randalli,3905,NA,NA
Acanthurus reversus,58792,NA,NA
Acanthurus sohal,4740,24,30
Acanthurus tennentii,1259,24,28
Acanthurus thompsoni,4734,24,27
Acanthurus tractus,942,21,25
Acanthurus triostegus,1260,NA,NA
Acanthurus tristis,12782,NA,NA
Acanthurus xanthopterus,1261,24,28
Acarobythites larsonae,59465,NA,NA
Acentrogobius caninus,4894,NA,NA
Acentrogobius cenderawasih,66879,NA,NA
Acentrogobius cyanomos,25062,22,28
Acentrogobius dayi,46432,NA,NA
Acentrogobius ennorensis,56720,NA,NA
Acentrogobius gracilis,27549,NA,NA
Acentrogobius griseus,25229,NA,NA
Acentrogobius janthinopterus,23581,NA,NA
Acentrogobius limarius,68732,NA,NA
Acentrogobius madraspatensis,25230,NA,NA
Acentrogobius masoni,25232,NA,NA
Acentrogobius moloanus,23582,NA,NA
Acentrogobius multifasciatus,23583,NA,NA
Acentrogobius nebulosus,7228,NA,NA
Acentrogobius pflaumii,23585,NA,NA
Acentrogobius signatus,17033,NA,NA
Acentrogobius simplex,9921,NA,NA
Acentrogobius suluensis,23587,NA,NA
Acentrogobius vanderloosi,68735,NA,NA
Acentrogobius viganensis,23590,NA,NA
Acentrogobius violarisi,68736,NA,NA
Acentrogobius viridipunctatus,15776,25,NA
Acentronura breviperula,66887,NA,NA
Acentronura gracilissima,7994,NA,NA
Acentronura tentaculata,16862,NA,NA
Acentrophryne dolichonema,62231,NA,NA
Acentrophryne longidens,59196,NA,NA
Aceroichthys dioctes,60002,NA,NA
Achirus declivis,52941,NA,NA
Achirus klunzingeri,13429,NA,NA
Achirus lineatus,4256,NA,NA
Achirus mazatlanus,10429,NA,NA
Achirus mucuri,64929,NA,NA
Achirus scutum,13434,NA,NA
Achirus zebrinus,52950,NA,NA
Achoerodus gouldii,14420,NA,NA
Achoerodus viridis,50808,NA,NA
Acipenser brevirostrum,2590,NA,NA
Acipenser gueldenstaedtii,4712,10,20
Acipenser gueldenstaedtii,4712,NA,NA
Acipenser medirostris,2592,10,20
Acipenser mikadoi,9762,NA,NA
Acipenser naccarii,2504,NA,NA
Acipenser nudiventris,2505,10,20
Acipenser nudiventris,2505,NA,NA
Acipenser oxyrinchus,2593,NA,NA
Acipenser persicus,9763,NA,NA
Acipenser schrenckii,6085,10,20
Acipenser sinensis,8762,NA,NA
Acipenser stellatus,2065,10,20
Acipenser stellatus,2065,NA,NA
Acipenser sturio,2066,10,18
Acipenser transmontanus,2594,0,23.2999992370605
Acipenser transmontanus,2594,NA,NA
Acreichthys hajam,24250,NA,NA
Acreichthys radiatus,7974,NA,NA
Acreichthys tomentosus,7849,22,28
Acromycter alcocki,58525,NA,NA
Acromycter atlanticus,58526,NA,NA
Acromycter longipectoralis,63064,NA,NA
Acromycter nezumi,23291,NA,NA
Acromycter perturbator,58562,NA,NA
Acropoma arafurense,69833,NA,NA
Acropoma argentistigma,59893,NA,NA
Acropoma boholensis,59419,NA,NA
Acropoma hanedai,9232,NA,NA
Acropoma heemstrai,70298,NA,NA
Acropoma japonicum,1267,NA,NA
Acropoma lecorneti,59169,NA,NA
Acropoma leobergi,69834,NA,NA
Acropoma musorstom,70277,NA,NA
Acropoma neglectum,70290,NA,NA
Acropoma profundum,67353,NA,NA
Acropoma splendens,70358,NA,NA
Acroteriobatus andysabini,69490,NA,NA
Acroteriobatus annulatus,5509,NA,NA
Acroteriobatus blochii,7968,NA,NA
Acroteriobatus leucospilus,5510,NA,NA
Acroteriobatus ocellatus,15661,NA,NA
Acroteriobatus omanensis,68219,NA,NA
Acroteriobatus salalah,25240,NA,NA
Acroteriobatus stehmanni,69491,NA,NA
Acroteriobatus variegatus,57445,NA,NA
Acroteriobatus zanzibarensis,57446,NA,NA
Aculeola nigra,644,NA,NA
Acyrtops amplicirrus,57913,NA,NA
Acyrtops beryllinus,3073,NA,NA
Acyrtus artius,16662,NA,NA
Acyrtus lanthanum,67983,NA,NA
Acyrtus pauciradiatus,62176,NA,NA
Acyrtus rubiginosus,16677,NA,NA
Adelosebastes latens,23885,NA,NA
Adelotremus deloachi,68806,NA,NA
