ncbi_taxon_id,species,subspecies,family_x,target_list_status,sequencing_status,synonym,publication_id,aphia_id,url,scientificname,authority,status,rank,valid_AphiaID,valid_name,order,family_y,genus,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,modified,SpecCode,DepthRangeShallow,DepthRangeDeep,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
980328,Gymnocanthus galeatus,-,Cottidae,long_list,-,-,-,254514,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254514,Gymnocanthus galeatus,"Bean, 1881",accepted,Species,254514,Gymnocanthus galeatus,Perciformes,Cottidae,Gymnocanthus,1,0,0,0,NA,2008-01-15T17:27:08Z,4091,0,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980329,Gymnocanthus tricuspis,-,Cottidae,long_list,-,-,-,127198,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127198,Gymnocanthus tricuspis,"(Reinhardt, 1830)",accepted,Species,127198,Gymnocanthus tricuspis,Perciformes,Cottidae,Gymnocanthus,1,0,0,0,NA,2008-01-15T17:27:08Z,4092,0,556,84,N,43,N,180,w,180,e,-1.60000002384186,12.5
980331,Icelus spatula,-,Cottidae,long_list,-,-,-,127200,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127200,Icelus spatula,"Gilbert & Burke, 1912",accepted,Species,127200,Icelus spatula,Perciformes,Cottidae,Icelus,1,0,0,0,NA,2008-01-15T17:27:08Z,4108,12,930,84,N,45,N,180,w,180,e,-1.75,7.80000019073486
980332,Liparis callyodon,-,Liparidae,long_list,-,-,-,274505,https://www.marinespecies.org/aphia.php?p=taxdetails&id=274505,Liparis callyodon,"(Pallas, 1814)",accepted,Species,274505,Liparis callyodon,Perciformes,Liparidae,Liparis,1,0,0,0,NA,2008-01-15T17:27:08Z,4187,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980336,Lumpenus fabricii,-,Stichaeidae,long_list,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980338,Lycodes mucosus,-,Zoarcidae,long_list,-,-,-,254584,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254584,Lycodes mucosus,"Richardson, 1855",accepted,Species,254584,Lycodes mucosus,Perciformes,Zoarcidae,Lycodes,1,0,0,0,NA,2008-01-15T17:27:08Z,27463,0,825,79,n,43,n,134,e,47,w,NA,NA
980339,Myoxocephalus jaok,-,Cottidae,long_list,-,-,-,254527,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254527,Myoxocephalus jaok,"(Cuvier, 1829)",accepted,Species,254527,Myoxocephalus jaok,Perciformes,Cottidae,Myoxocephalus,1,0,0,0,NA,2008-01-15T17:27:08Z,4118,0,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980340,Pholis fasciata,-,Pholidae,long_list,-,-,-,159846,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159846,Pholis fasciata,"(Bloch & Schneider, 1801)",accepted,Species,159846,Pholis fasciata,Perciformes,Pholidae,Pholis,1,0,0,0,NA,2008-01-15T17:27:08Z,3802,0,94,83,N,40,N,136,e,42,w,NA,NA
980341,Podothecus veternus,-,Agonidae,long_list,-,-,-,254509,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254509,Podothecus veternus,"Jordan & Starks, 1895",accepted,Species,254509,Podothecus veternus,Perciformes,Agonidae,Podothecus,1,0,0,0,NA,2008-01-15T17:27:08Z,50370,10,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980342,Psychrolutes paradoxus,-,Psychrolutidae,long_list,-,-,-,254566,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254566,Psychrolutes paradoxus,"Günther, 1861",accepted,Species,254566,Psychrolutes paradoxus,Perciformes,Psychrolutidae,Psychrolutes,1,0,0,0,NA,2008-01-15T17:27:08Z,4135,0,1100,66,N,46,N,NA,NA,NA,NA,NA,NA
980343,Radulinus boleoides,-,Cottidae,long_list,-,-,-,282542,https://www.marinespecies.org/aphia.php?p=taxdetails&id=282542,Radulinus boleoides,"Gilbert, 1898",accepted,Species,282542,Radulinus boleoides,Perciformes,Cottidae,Radulinus,1,0,0,0,NA,2008-01-15T17:27:08Z,4137,15,146,55,N,32,N,NA,NA,NA,NA,NA,NA
980344,Stichaeus punctatus,-,Stichaeidae,long_list,-,-,-,159819,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159819,Stichaeus punctatus,"(Fabricius, 1780)",accepted,Species,159819,Stichaeus punctatus,Perciformes,Stichaeidae,Stichaeus,1,0,0,0,NA,2020-09-24T06:35:24Z,3795,0,100,84,N,41,N,135,e,43,w,NA,NA
980385,Anisarchus medius,-,Stichaeidae,long_list,-,-,-,127070,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127070,Anisarchus medius,"(Reinhardt, 1837)",accepted,Species,127070,Anisarchus medius,Perciformes,Lumpenidae,Anisarchus,1,0,0,0,NA,2008-01-15T17:27:08Z,3789,10,300,85,N,41,N,180,w,180,e,NA,NA
980387,Eumesogrammus praecisus,-,Stichaeidae,long_list,-,-,-,159817,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159817,Eumesogrammus praecisus,"(Krøyer, 1836)",accepted,Species,159817,Eumesogrammus praecisus,Perciformes,Stichaeidae,Eumesogrammus,1,0,0,0,NA,2008-01-15T17:27:08Z,3783,5,400,82,N,48,N,135,e,43,w,NA,NA
980413,Eurymen gyrinus,-,Psychrolutidae,long_list,-,-,-,254565,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254565,Eurymen gyrinus,"Gilbert & Burke, 1912",accepted,Species,254565,Eurymen gyrinus,Perciformes,Psychrolutidae,Eurymen,1,0,0,0,NA,2008-01-15T17:27:08Z,11715,14,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980415,Lethenteron camtschaticum,-,Petromyzontidae,long_list,-,-,-,101173,https://www.marinespecies.org/aphia.php?p=taxdetails&id=101173,Lethenteron camtschaticum,"(Tilesius, 1811)",accepted,Species,101173,Lethenteron camtschaticum,Petromyzontiformes,Petromyzontidae,Lethenteron,1,1,1,0,NA,2010-05-06T09:57:44Z,2524,0,50,72,N,34,N,180,w,180,e,5,18
980417,Leptoclinus maculatus,-,Stichaeidae,long_list,-,-,-,127072,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127072,Leptoclinus maculatus,"(Fries, 1838)",accepted,Species,127072,Leptoclinus maculatus,Perciformes,Lumpenidae,Leptoclinus,1,0,0,0,NA,2008-01-15T17:27:08Z,3788,2,607,79,N,43,N,180,w,180,e,-1.6,2
980419,Aspidophoroides olrikii,-,Agonidae,long_list,-,-,-,309268,https://www.marinespecies.org/aphia.php?p=taxdetails&id=309268,Aspidophoroides olrikii,"Lütken, 1877",accepted,Species,309268,Aspidophoroides olrikii,Perciformes,Agonidae,Aspidophoroides,1,1,0,0,NA,2014-06-03T08:10:29Z,4158,0,632,83,N,51,N,33,e,45,w,NA,NA
980614,Altrichthys azurelineatus,-,Pomacentridae,long_list,-,-,-,279570,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279570,Altrichthys azurelineatus,"(Fowler & Bean, 1928)",accepted,Species,279570,Altrichthys azurelineatus,Ovalentaria incertae sedis,Pomacentridae,Altrichthys,1,0,0,0,NA,2008-01-15T17:27:08Z,11832,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
